match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Tackles,opponent Match Tackles,2nd half Tackles,opponent 2nd half Tackles,Extra timeBall Possession,opponent Extra timeBall Possession,Extra timeGoal Attempts,opponent Extra timeGoal Attempts,Extra timeShots on Goal,opponent Extra timeShots on Goal,Extra timeShots off Goal,opponent Extra timeShots off Goal,Extra timeBlocked Shots,opponent Extra timeBlocked Shots,Extra timeCorner Kicks,opponent Extra timeCorner Kicks,Extra timeOffsides,opponent Extra timeOffsides,Extra timeGoalkeeper Saves,opponent Extra timeGoalkeeper Saves,Extra timeFouls,opponent Extra timeFouls,Extra timeYellow Cards,opponent Extra timeYellow Cards,Match Free Kicks,opponent Match Free Kicks,Match Throw-in,opponent Match Throw-in,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Throw-in,opponent 2nd half Throw-in
bundesliga-2016-2017-2017-02-10-Mainz-Augsburg,bundesliga,home,Mainz,Augsburg,10.02.2017,2,0,2016-2017,49%,51%,8.0,10.0,4.0,6.0,3.0,3.0,1.0,1.0,6.0,2.0,1.0,0.0,6.0,2.0,9.0,13.0,1.0,3.0,53%,47%,5.0,6.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,4.0,1.0,4.0,9.0,45%,55%,3.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-11-Bayer Leverkusen-Eintracht Frankfurt,bundesliga,home,Bayer Leverkusen,Eintracht Frankfurt,11.02.2017,3,0,2016-2017,50%,50%,17.0,9.0,7.0,3.0,6.0,4.0,4.0,2.0,7.0,6.0,3.0,2.0,3.0,4.0,9.0,10.0,2.0,1.0,52%,48%,6.0,3.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,7.0,9.0,48%,52%,11.0,6.0,5.0,1.0,2.0,4.0,4.0,1.0,7.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-11-Darmstadt-Dortmund,bundesliga,home,Darmstadt,Dortmund,11.02.2017,2,1,2016-2017,41%,59%,15.0,14.0,7.0,4.0,7.0,6.0,1.0,4.0,0.0,12.0,3.0,2.0,3.0,5.0,10.0,20.0,2.0,2.0,44%,56%,6.0,7.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,2.0,4.0,10.0,38%,62%,9.0,7.0,4.0,1.0,4.0,3.0,1.0,3.0,0.0,6.0,1.0,2.0,1.0,3.0,6.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-11-Ingolstadt-Bayern Munich,bundesliga,home,Ingolstadt,Bayern Munich,11.02.2017,0,2,2016-2017,34%,66%,8.0,17.0,0.0,5.0,7.0,9.0,1.0,3.0,2.0,4.0,0.0,4.0,3.0,0.0,15.0,14.0,2.0,1.0,36%,64%,4.0,8.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,10.0,7.0,32%,68%,4.0,9.0,0.0,3.0,4.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,5.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-11-RB Leipzig-Hamburger SV,bundesliga,home,RB Leipzig,Hamburger SV,11.02.2017,0,3,2016-2017,63%,37%,15.0,11.0,0.0,5.0,9.0,5.0,6.0,1.0,3.0,6.0,4.0,5.0,2.0,0.0,9.0,17.0,2.0,2.0,62%,38%,10.0,5.0,0.0,3.0,8.0,2.0,2.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,2.0,5.0,64%,36%,5.0,6.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,7.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-11-Schalke-Hertha Berlin,bundesliga,home,Schalke,Hertha Berlin,11.02.2017,2,0,2016-2017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-11-Werder Bremen-B. Monchengladbach,bundesliga,home,Werder Bremen,B. Monchengladbach,11.02.2017,0,1,2016-2017,57%,43%,16.0,12.0,6.0,3.0,3.0,4.0,7.0,5.0,9.0,3.0,1.0,4.0,2.0,6.0,16.0,17.0,2.0,2.0,54%,46%,4.0,8.0,3.0,2.0,1.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,1.0,3.0,10.0,6.0,60%,40%,12.0,4.0,3.0,1.0,2.0,1.0,7.0,2.0,7.0,0.0,1.0,1.0,1.0,3.0,6.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-12-Freiburg-FC Koln,bundesliga,home,Freiburg,FC Koln,12.02.2017,2,1,2016-2017,55%,45%,12.0,12.0,6.0,5.0,4.0,6.0,2.0,1.0,7.0,1.0,0.0,4.0,4.0,4.0,14.0,12.0,1.0,1.0,57%,43%,4.0,5.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,7.0,6.0,53%,47%,8.0,7.0,3.0,3.0,3.0,4.0,2.0,0.0,5.0,1.0,0.0,2.0,3.0,2.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-12-Wolfsburg-Hoffenheim,bundesliga,home,Wolfsburg,Hoffenheim,12.02.2017,2,1,2016-2017,41%,59%,14.0,14.0,7.0,7.0,5.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,6.0,5.0,15.0,17.0,3.0,2.0,46%,54%,4.0,8.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,8.0,35%,65%,10.0,6.0,6.0,5.0,3.0,1.0,1.0,0.0,3.0,4.0,0.0,2.0,5.0,4.0,7.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2016-2017-2017-02-17-Augsburg-Bayer Leverkusen,bundesliga,home,Augsburg,Bayer Leverkusen,17.02.2017,1,3,2016-2017,51%,49%,12.0,20.0,4.0,10.0,6.0,5.0,2.0,5.0,2.0,4.0,3.0,1.0,7.0,3.0,12.0,13.0,3.0,1.0,46%,54%,6.0,11.0,1.0,6.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,6.0,7.0,56%,44%,6.0,9.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,6.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
