match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,2nd half Yellow Cards,opponent 2nd half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards
bundesliga-2018-2019-2018-08-24-Bayern Munich-Hoffenheim,bundesliga,home,Bayern Munich,Hoffenheim,24.08.2018,3,1,2018-2019,67%,33%,16.0,8.0,5.0,5.0,5.0,1.0,6.0,2.0,21.0,9.0,7.0,2.0,4.0,2.0,4.0,2.0,2.0,21.0,1.0,4.0,555.0,275.0,480.0,210.0,10.0,13.0,116.0,87.0,46.0,20.0,73%,27%,7.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,12.0,5.0,6.0,1.0,2.0,1.0,0.0,1.0,1.0,11.0,1.0,4.0,315.0,115.0,281.0,89.0,5.0,7.0,60.0,35.0,27.0,9.0,61%,39%,9.0,6.0,3.0,5.0,5.0,0.0,1.0,1.0,9.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,10.0,240.0,160.0,199.0,121.0,5.0,6.0,56.0,52.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-08-25-B. Monchengladbach-Bayer Leverkusen,bundesliga,home,B. Monchengladbach,Bayer Leverkusen,25.08.2018,2,0,2018-2019,49%,51%,17.0,13.0,7.0,3.0,5.0,8.0,5.0,2.0,10.0,14.0,9.0,5.0,1.0,1.0,3.0,5.0,10.0,10.0,1.0,2.0,476.0,497.0,406.0,425.0,20.0,18.0,106.0,113.0,47.0,47.0,51%,49%,3.0,6.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,6.0,4.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,271.0,262.0,234.0,224.0,6.0,9.0,60.0,53.0,21.0,21.0,47%,53%,14.0,7.0,6.0,2.0,4.0,5.0,4.0,0.0,6.0,8.0,5.0,3.0,0.0,1.0,2.0,4.0,6.0,6.0,205.0,235.0,172.0,201.0,14.0,9.0,46.0,60.0,26.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-08-25-Dusseldorf-Augsburg,bundesliga,home,Dusseldorf,Augsburg,25.08.2018,1,2,2018-2019,51%,49%,9.0,14.0,5.0,7.0,3.0,4.0,1.0,3.0,14.0,13.0,7.0,5.0,1.0,3.0,5.0,4.0,11.0,10.0,1.0,0.0,443.0,418.0,346.0,322.0,27.0,12.0,107.0,123.0,40.0,51.0,47%,53%,5.0,10.0,4.0,4.0,1.0,4.0,0.0,2.0,8.0,4.0,0.0,4.0,1.0,2.0,4.0,3.0,2.0,6.0,0.0,0.0,222.0,245.0,169.0,196.0,12.0,4.0,53.0,66.0,12.0,29.0,55%,45%,4.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,6.0,9.0,7.0,1.0,0.0,1.0,1.0,1.0,9.0,4.0,221.0,173.0,177.0,126.0,15.0,8.0,54.0,57.0,28.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-08-25-Freiburg-Eintracht Frankfurt,bundesliga,home,Freiburg,Eintracht Frankfurt,25.08.2018,0,2,2018-2019,52%,48%,22.0,10.0,6.0,2.0,10.0,7.0,6.0,1.0,14.0,10.0,6.0,4.0,4.0,1.0,0.0,6.0,7.0,12.0,1.0,2.0,417.0,385.0,310.0,275.0,8.0,13.0,98.0,112.0,44.0,39.0,50%,50%,11.0,4.0,4.0,1.0,5.0,3.0,2.0,0.0,4.0,3.0,0.0,3.0,2.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,210.0,200.0,165.0,153.0,5.0,3.0,39.0,54.0,24.0,22.0,54%,46%,11.0,6.0,2.0,1.0,5.0,4.0,4.0,1.0,10.0,7.0,6.0,1.0,2.0,0.0,0.0,2.0,5.0,9.0,207.0,185.0,145.0,122.0,3.0,10.0,59.0,58.0,20.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-08-25-Hertha Berlin-Nurnberg,bundesliga,home,Hertha Berlin,Nurnberg,25.08.2018,1,0,2018-2019,49%,51%,10.0,12.0,3.0,3.0,3.0,6.0,4.0,3.0,10.0,14.0,8.0,4.0,0.0,0.0,3.0,2.0,13.0,10.0,2.0,2.0,447.0,466.0,355.0,363.0,12.0,18.0,84.0,125.0,35.0,28.0,53%,47%,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,264.0,236.0,213.0,185.0,8.0,11.0,50.0,64.0,14.0,9.0,45%,55%,7.0,9.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,9.0,5.0,3.0,0.0,0.0,2.0,2.0,8.0,5.0,183.0,230.0,142.0,178.0,4.0,7.0,34.0,61.0,21.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-08-25-Werder Bremen-Hannover,bundesliga,home,Werder Bremen,Hannover,25.08.2018,1,1,2018-2019,55%,45%,15.0,13.0,3.0,4.0,10.0,5.0,2.0,4.0,8.0,8.0,4.0,3.0,0.0,1.0,3.0,2.0,5.0,6.0,0.0,0.0,536.0,446.0,440.0,358.0,16.0,16.0,142.0,112.0,68.0,36.0,52%,48%,5.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,6.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,267.0,246.0,218.0,199.0,10.0,7.0,73.0,53.0,34.0,18.0,58%,42%,10.0,10.0,1.0,3.0,8.0,5.0,1.0,2.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,269.0,200.0,222.0,159.0,6.0,9.0,69.0,59.0,34.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-08-25-Wolfsburg-Schalke,bundesliga,home,Wolfsburg,Schalke,25.08.2018,2,1,2018-2019,59%,41%,11.0,9.0,7.0,4.0,3.0,2.0,1.0,3.0,14.0,16.0,7.0,2.0,1.0,2.0,3.0,5.0,16.0,11.0,5.0,3.0,432.0,302.0,324.0,196.0,14.0,14.0,89.0,103.0,41.0,35.0,57%,43%,5.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,6.0,10.0,6.0,1.0,1.0,1.0,1.0,3.0,10.0,5.0,2.0,1.0,219.0,167.0,172.0,115.0,5.0,6.0,44.0,48.0,19.0,16.0,61%,39%,6.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,8.0,6.0,1.0,1.0,0.0,1.0,2.0,2.0,6.0,6.0,213.0,135.0,152.0,81.0,9.0,8.0,45.0,55.0,22.0,19.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
bundesliga-2018-2019-2018-08-26-Dortmund-RB Leipzig,bundesliga,home,Dortmund,RB Leipzig,26.08.2018,4,1,2018-2019,43%,57%,10.0,10.0,5.0,7.0,2.0,3.0,3.0,0.0,15.0,13.0,7.0,9.0,4.0,4.0,6.0,1.0,8.0,11.0,2.0,2.0,384.0,436.0,297.0,350.0,14.0,22.0,84.0,132.0,26.0,67.0,55%,45%,5.0,5.0,4.0,3.0,0.0,2.0,1.0,0.0,10.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,0.0,2.0,241.0,201.0,198.0,150.0,6.0,13.0,44.0,72.0,16.0,28.0,31%,69%,5.0,5.0,1.0,4.0,2.0,1.0,2.0,0.0,5.0,9.0,3.0,8.0,3.0,3.0,4.0,0.0,6.0,2.0,143.0,235.0,99.0,200.0,8.0,9.0,40.0,60.0,10.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-08-26-Mainz-Stuttgart,bundesliga,home,Mainz,Stuttgart,26.08.2018,1,0,2018-2019,48%,52%,8.0,12.0,3.0,3.0,4.0,6.0,1.0,3.0,8.0,19.0,6.0,3.0,3.0,1.0,3.0,2.0,15.0,6.0,1.0,2.0,404.0,451.0,300.0,344.0,15.0,21.0,104.0,124.0,46.0,30.0,54%,46%,5.0,7.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,7.0,4.0,0.0,0.0,0.0,3.0,1.0,7.0,4.0,0.0,0.0,211.0,182.0,161.0,130.0,7.0,10.0,45.0,55.0,26.0,12.0,42%,58%,3.0,5.0,2.0,0.0,1.0,3.0,0.0,2.0,4.0,12.0,2.0,3.0,3.0,1.0,0.0,1.0,8.0,2.0,193.0,269.0,139.0,214.0,8.0,11.0,59.0,69.0,20.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2018-08-31-Hannover-Dortmund,bundesliga,home,Hannover,Dortmund,31.08.2018,0,0,2018-2019,54%,46%,7.0,8.0,0.0,3.0,3.0,4.0,4.0,1.0,9.0,14.0,4.0,1.0,2.0,4.0,3.0,0.0,12.0,5.0,0.0,0.0,581.0,451.0,467.0,345.0,20.0,19.0,116.0,129.0,50.0,25.0,54%,46%,2.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,3.0,2.0,0.0,6.0,1.0,0.0,0.0,297.0,250.0,244.0,201.0,9.0,13.0,69.0,68.0,33.0,12.0,54%,46%,5.0,3.0,0.0,1.0,2.0,3.0,3.0,-1.0,5.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,284.0,201.0,223.0,144.0,11.0,6.0,47.0,61.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
