match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Throw-in,opponent Match Throw-in,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Throw-in,opponent 2nd half Throw-in,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Goal Kicks,opponent Match Goal Kicks,1st half Goal Kicks,opponent 1st half Goal Kicks,2nd half Goal Kicks,opponent 2nd half Goal Kicks
laliga-2017-2018-2017-08-18-Leganes-Alaves,laliga,home,Leganes,Alaves,18.08.2017,1,0,2017-2018,52%,48%,14.0,6.0,5.0,3.0,6.0,3.0,3.0,0.0,18.0,16.0,4.0,2.0,2.0,0.0,27.0,26.0,3.0,4.0,18.0,17.0,0.0,1.0,121.0,110.0,77.0,55.0,56%,44%,9.0,1.0,3.0,1.0,4.0,0.0,2.0,0.0,8.0,7.0,2.0,2.0,1.0,0.0,1.0,2.0,7.0,9.0,0.0,1.0,66.0,58.0,38.0,24.0,48%,52%,5.0,5.0,2.0,2.0,2.0,3.0,1.0,0.0,10.0,9.0,2.0,0.0,1.0,0.0,27.0,26.0,2.0,2.0,11.0,8.0,55.0,52.0,39.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-18-Valencia-Las Palmas,laliga,home,Valencia,Las Palmas,18.08.2017,1,0,2017-2018,48%,52%,22.0,5.0,6.0,4.0,10.0,1.0,6.0,0.0,14.0,27.0,5.0,2.0,2.0,1.0,13.0,15.0,4.0,5.0,25.0,13.0,3.0,3.0,88.0,87.0,65.0,49.0,49%,51%,7.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,8.0,12.0,2.0,1.0,1.0,1.0,2.0,1.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,47%,53%,15.0,3.0,4.0,2.0,7.0,1.0,4.0,0.0,6.0,15.0,3.0,1.0,1.0,0.0,13.0,15.0,2.0,4.0,15.0,7.0,88.0,87.0,65.0,49.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-19-Celta Vigo-Real Sociedad,laliga,home,Celta Vigo,Real Sociedad,19.08.2017,2,3,2017-2018,53%,47%,16.0,13.0,5.0,6.0,4.0,6.0,7.0,1.0,12.0,11.0,5.0,4.0,3.0,1.0,24.0,15.0,3.0,3.0,9.0,9.0,3.0,1.0,73.0,43.0,51.0,49.0,51%,49%,8.0,6.0,4.0,3.0,1.0,3.0,3.0,0.0,6.0,5.0,2.0,1.0,1.0,0.0,2.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,55%,45%,8.0,7.0,1.0,3.0,3.0,3.0,4.0,1.0,6.0,6.0,3.0,3.0,2.0,1.0,24.0,15.0,1.0,0.0,3.0,4.0,73.0,43.0,51.0,49.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-19-Girona-Atl. Madrid,laliga,home,Girona,Atl. Madrid,19.08.2017,2,2,2017-2018,52%,48%,13.0,9.0,6.0,3.0,7.0,4.0,0.0,2.0,15.0,14.0,6.0,0.0,0.0,2.0,14.0,19.0,1.0,4.0,15.0,15.0,2.0,4.0,67.0,67.0,53.0,47.0,53%,47%,6.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,6.0,6.0,2.0,0.0,0.0,1.0,1.0,2.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,51%,49%,7.0,6.0,2.0,2.0,5.0,3.0,0.0,1.0,9.0,8.0,4.0,0.0,0.0,1.0,14.0,19.0,0.0,2.0,8.0,10.0,67.0,67.0,53.0,47.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-19-Sevilla-Espanyol,laliga,home,Sevilla,Espanyol,19.08.2017,1,1,2017-2018,62%,38%,9.0,9.0,4.0,6.0,4.0,2.0,1.0,1.0,12.0,20.0,7.0,3.0,6.0,0.0,25.0,18.0,5.0,3.0,14.0,12.0,2.0,4.0,102.0,80.0,91.0,72.0,64%,36%,4.0,7.0,3.0,4.0,1.0,2.0,0.0,1.0,4.0,7.0,3.0,0.0,2.0,0.0,3.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,60%,40%,5.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,8.0,13.0,4.0,3.0,4.0,0.0,25.0,18.0,2.0,1.0,9.0,8.0,102.0,80.0,91.0,72.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-20-Ath Bilbao-Getafe,laliga,home,Ath Bilbao,Getafe,20.08.2017,0,0,2017-2018,64%,36%,13.0,8.0,2.0,2.0,8.0,4.0,3.0,2.0,16.0,16.0,7.0,6.0,1.0,1.0,19.0,12.0,2.0,2.0,16.0,15.0,1.0,5.0,110.0,85.0,72.0,35.0,62%,38%,6.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,7.0,3.0,3.0,1.0,0.0,1.0,2.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,66%,34%,7.0,4.0,0.0,1.0,5.0,2.0,2.0,1.0,11.0,9.0,4.0,3.0,0.0,1.0,19.0,12.0,1.0,0.0,9.0,10.0,110.0,85.0,72.0,35.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-20-Barcelona-Betis,laliga,home,Barcelona,Betis,20.08.2017,2,0,2017-2018,61%,39%,15.0,3.0,2.0,0.0,8.0,2.0,5.0,1.0,16.0,18.0,8.0,0.0,2.0,1.0,17.0,15.0,0.0,0.0,16.0,15.0,2.0,1.0,111.0,69.0,86.0,36.0,62%,38%,10.0,1.0,2.0,0.0,5.0,0.0,3.0,1.0,7.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,60%,40%,5.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,9.0,9.0,6.0,0.0,1.0,1.0,17.0,15.0,0.0,0.0,8.0,8.0,111.0,69.0,86.0,36.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-20-Dep. La Coruna-Real Madrid,laliga,home,Dep. La Coruna,Real Madrid,20.08.2017,0,3,2017-2018,32%,68%,12.0,16.0,6.0,8.0,5.0,4.0,1.0,4.0,13.0,17.0,4.0,4.0,2.0,2.0,16.0,20.0,5.0,6.0,16.0,12.0,5.0,3.0,91.0,105.0,61.0,79.0,26%,74%,6.0,7.0,3.0,4.0,3.0,1.0,0.0,2.0,7.0,8.0,1.0,1.0,0.0,1.0,2.0,3.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,38%,62%,6.0,9.0,3.0,4.0,2.0,3.0,1.0,2.0,6.0,9.0,3.0,3.0,2.0,1.0,16.0,20.0,3.0,3.0,8.0,6.0,91.0,105.0,61.0,79.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-21-Levante-Villarreal,laliga,home,Levante,Villarreal,21.08.2017,1,0,2017-2018,42%,58%,14.0,8.0,3.0,1.0,7.0,2.0,4.0,5.0,14.0,20.0,11.0,6.0,2.0,1.0,22.0,17.0,1.0,2.0,18.0,14.0,1.0,3.0,84.0,88.0,68.0,51.0,40%,60%,6.0,8.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,11.0,7.0,3.0,1.0,0.0,1.0,1.0,10.0,3.0,1.0,1.0,43.0,43.0,37.0,26.0,44%,56%,8.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,11.0,9.0,4.0,3.0,1.0,1.0,22.0,17.0,0.0,1.0,8.0,11.0,41.0,45.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-21-Malaga-Eibar,laliga,home,Malaga,Eibar,21.08.2017,0,1,2017-2018,55%,45%,10.0,13.0,4.0,6.0,3.0,4.0,3.0,3.0,20.0,18.0,3.0,7.0,2.0,5.0,26.0,30.0,5.0,4.0,16.0,15.0,2.0,3.0,107.0,114.0,50.0,94.0,58%,42%,3.0,5.0,1.0,3.0,1.0,2.0,1.0,0.0,8.0,9.0,0.0,4.0,2.0,1.0,3.0,1.0,7.0,7.0,1.0,2.0,58.0,57.0,25.0,45.0,52%,48%,7.0,8.0,3.0,3.0,2.0,2.0,2.0,3.0,12.0,9.0,3.0,3.0,0.0,4.0,26.0,30.0,2.0,3.0,9.0,8.0,49.0,57.0,25.0,49.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
