match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,1st half Throw-in,opponent 1st half Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
laliga-2018-2019-2018-08-17-Betis-Levante,laliga,home,Betis,Levante,17.08.2018,0,3,2018-2019,77%,23%,22.0,6.0,8.0,4.0,10.0,2.0,4.0,0.0,14.0,12.0,5.0,3.0,2.0,4.0,1.0,8.0,10.0,10.0,0.0,2.0,707.0,205.0,641.0,133.0,24.0,14.0,165.0,58.0,118.0,18.0,77%,23%,10.0,1.0,3.0,1.0,5.0,0.0,2.0,0.0,6.0,5.0,2.0,1.0,1.0,4.0,0.0,3.0,4.0,2.0,377.0,105.0,347.0,68.0,12.0,8.0,87.0,23.0,57.0,8.0,77%,23%,12.0,5.0,5.0,3.0,5.0,2.0,2.0,0.0,8.0,7.0,3.0,2.0,1.0,0.0,1.0,5.0,6.0,8.0,0.0,2.0,330.0,100.0,294.0,65.0,12.0,6.0,78.0,35.0,61.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-17-Girona-Valladolid,laliga,home,Girona,Valladolid,17.08.2018,0,0,2018-2019,68%,32%,13.0,2.0,1.0,1.0,10.0,1.0,2.0,0.0,22.0,23.0,3.0,2.0,1.0,1.0,1.0,1.0,21.0,20.0,1.0,1.0,589.0,274.0,500.0,173.0,11.0,29.0,156.0,97.0,51.0,28.0,68%,32%,4.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,8.0,9.0,3.0,2.0,0.0,1.0,1.0,1.0,8.0,6.0,292.0,134.0,255.0,88.0,5.0,15.0,64.0,57.0,27.0,17.0,68%,32%,9.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,14.0,1.0,1.0,297.0,140.0,245.0,85.0,6.0,14.0,92.0,40.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-18-Barcelona-Alaves,laliga,home,Barcelona,Alaves,18.08.2018,3,0,2018-2019,79%,21%,25.0,3.0,9.0,0.0,12.0,2.0,4.0,1.0,13.0,9.0,7.0,1.0,3.0,0.0,0.0,6.0,6.0,13.0,0.0,2.0,876.0,229.0,788.0,151.0,7.0,21.0,82.0,42.0,56.0,16.0,78%,22%,11.0,1.0,2.0,0.0,9.0,1.0,0.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,8.0,419.0,112.0,375.0,74.0,3.0,9.0,40.0,22.0,25.0,10.0,80%,20%,14.0,2.0,7.0,0.0,3.0,1.0,4.0,1.0,5.0,8.0,4.0,0.0,3.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,457.0,117.0,413.0,77.0,4.0,12.0,42.0,20.0,31.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-18-Celta Vigo-Espanyol,laliga,home,Celta Vigo,Espanyol,18.08.2018,1,1,2018-2019,48%,52%,12.0,14.0,2.0,5.0,8.0,4.0,2.0,5.0,15.0,15.0,8.0,7.0,3.0,1.0,4.0,1.0,13.0,14.0,3.0,2.0,396.0,424.0,315.0,340.0,11.0,22.0,132.0,82.0,52.0,41.0,53%,47%,4.0,6.0,1.0,3.0,3.0,1.0,0.0,2.0,7.0,8.0,2.0,4.0,2.0,0.0,2.0,1.0,6.0,7.0,240.0,208.0,195.0,166.0,5.0,7.0,78.0,38.0,23.0,17.0,43%,57%,8.0,8.0,1.0,2.0,5.0,3.0,2.0,3.0,8.0,7.0,6.0,3.0,1.0,1.0,2.0,0.0,7.0,7.0,2.0,2.0,156.0,216.0,120.0,174.0,6.0,15.0,54.0,44.0,29.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-18-Villarreal-Real Sociedad,laliga,home,Villarreal,Real Sociedad,18.08.2018,1,2,2018-2019,52%,48%,16.0,8.0,7.0,4.0,3.0,3.0,6.0,1.0,14.0,16.0,4.0,6.0,0.0,4.0,2.0,6.0,16.0,10.0,2.0,3.0,461.0,422.0,365.0,331.0,16.0,10.0,106.0,83.0,59.0,43.0,43%,57%,6.0,5.0,5.0,2.0,1.0,2.0,0.0,1.0,7.0,9.0,1.0,5.0,0.0,1.0,1.0,4.0,9.0,6.0,191.0,246.0,147.0,207.0,9.0,5.0,36.0,46.0,24.0,24.0,61%,39%,10.0,3.0,2.0,2.0,2.0,1.0,6.0,0.0,7.0,7.0,3.0,1.0,0.0,3.0,1.0,2.0,7.0,4.0,1.0,3.0,270.0,176.0,218.0,124.0,7.0,5.0,70.0,37.0,35.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-19-Eibar-Huesca,laliga,home,Eibar,Huesca,19.08.2018,1,2,2018-2019,68%,32%,18.0,8.0,6.0,6.0,8.0,1.0,4.0,1.0,16.0,13.0,7.0,0.0,1.0,2.0,4.0,5.0,12.0,13.0,1.0,1.0,563.0,271.0,460.0,183.0,19.0,19.0,144.0,86.0,100.0,33.0,66%,34%,11.0,3.0,5.0,3.0,4.0,0.0,2.0,0.0,8.0,7.0,3.0,0.0,0.0,1.0,1.0,5.0,7.0,7.0,280.0,148.0,230.0,99.0,11.0,9.0,61.0,54.0,54.0,23.0,70%,30%,7.0,5.0,1.0,3.0,4.0,1.0,2.0,1.0,8.0,6.0,4.0,0.0,1.0,1.0,3.0,0.0,5.0,6.0,1.0,1.0,283.0,123.0,230.0,84.0,8.0,10.0,83.0,32.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-19-Rayo Vallecano-Sevilla,laliga,home,Rayo Vallecano,Sevilla,19.08.2018,1,4,2018-2019,49%,51%,13.0,17.0,2.0,8.0,5.0,7.0,6.0,2.0,21.0,9.0,2.0,6.0,3.0,6.0,4.0,1.0,6.0,15.0,1.0,0.0,412.0,437.0,346.0,369.0,14.0,15.0,85.0,104.0,49.0,48.0,41%,59%,6.0,9.0,1.0,5.0,0.0,3.0,5.0,1.0,7.0,7.0,2.0,4.0,2.0,1.0,2.0,1.0,5.0,6.0,166.0,244.0,128.0,208.0,8.0,8.0,35.0,57.0,21.0,22.0,57%,43%,7.0,8.0,1.0,3.0,5.0,4.0,1.0,1.0,14.0,2.0,0.0,2.0,1.0,5.0,2.0,0.0,1.0,9.0,0.0,0.0,246.0,193.0,218.0,161.0,6.0,7.0,50.0,47.0,28.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-19-Real Madrid-Getafe,laliga,home,Real Madrid,Getafe,19.08.2018,2,0,2018-2019,78%,22%,10.0,5.0,3.0,1.0,5.0,2.0,2.0,2.0,26.0,18.0,3.0,0.0,6.0,0.0,1.0,1.0,11.0,28.0,1.0,7.0,793.0,222.0,724.0,145.0,19.0,18.0,70.0,59.0,42.0,34.0,81%,19%,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,11.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,11.0,431.0,106.0,402.0,61.0,11.0,8.0,37.0,28.0,23.0,14.0,75%,25%,6.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,15.0,12.0,1.0,0.0,2.0,0.0,1.0,1.0,9.0,17.0,1.0,4.0,362.0,116.0,322.0,84.0,8.0,10.0,33.0,31.0,19.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-20-Ath Bilbao-Leganes,laliga,home,Ath Bilbao,Leganes,20.08.2018,2,1,2018-2019,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2018-08-20-Valencia-Atl. Madrid,laliga,home,Valencia,Atl. Madrid,20.08.2018,1,1,2018-2019,51%,49%,13.0,9.0,4.0,3.0,8.0,3.0,1.0,3.0,21.0,10.0,4.0,10.0,0.0,6.0,2.0,3.0,10.0,15.0,2.0,3.0,500.0,471.0,418.0,378.0,18.0,26.0,118.0,119.0,46.0,57.0,52%,48%,7.0,4.0,0.0,3.0,6.0,0.0,1.0,1.0,12.0,6.0,2.0,5.0,0.0,4.0,2.0,0.0,6.0,8.0,266.0,232.0,230.0,187.0,9.0,14.0,67.0,57.0,18.0,19.0,50%,50%,6.0,5.0,4.0,0.0,2.0,3.0,0.0,2.0,9.0,4.0,2.0,5.0,0.0,2.0,0.0,3.0,4.0,7.0,1.0,2.0,234.0,239.0,188.0,191.0,9.0,12.0,51.0,62.0,28.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
