match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes
ligue-1-2017-2018-2017-08-04-Monaco-Toulouse,ligue-1,home,Monaco,Toulouse,04.08.2017,3,2,2017-2018,71%,29%,17.0,6.0,7.0,3.0,5.0,1.0,5.0,2.0,24.0,17.0,8.0,2.0,5.0,1.0,1.0,4.0,12.0,22.0,1.0,3.0,0.0,0.0,0.0,0.0,71%,29%,10.0,3.0,2.0,2.0,3.0,0.0,5.0,1.0,12.0,7.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,71%,29%,7.0,3.0,5.0,1.0,2.0,1.0,0.0,1.0,12.0,10.0,4.0,0.0,3.0,0.0,0.0,3.0,7.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-05-Lyon-Strasbourg,ligue-1,home,Lyon,Strasbourg,05.08.2017,4,0,2017-2018,62%,38%,12.0,5.0,7.0,1.0,3.0,3.0,2.0,1.0,17.0,14.0,3.0,4.0,4.0,3.0,1.0,3.0,11.0,16.0,2.0,3.0,0.0,0.0,0.0,0.0,64%,36%,7.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,7.0,8.0,3.0,0.0,3.0,0.0,0.0,3.0,6.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,60%,40%,5.0,4.0,3.0,1.0,2.0,2.0,0.0,1.0,10.0,6.0,0.0,4.0,1.0,3.0,1.0,0.0,5.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-05-Metz-Guingamp,ligue-1,home,Metz,Guingamp,05.08.2017,1,3,2017-2018,58%,42%,6.0,13.0,4.0,5.0,1.0,5.0,1.0,3.0,14.0,11.0,3.0,3.0,3.0,1.0,2.0,3.0,9.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,60%,40%,4.0,6.0,2.0,2.0,1.0,3.0,1.0,1.0,8.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,56%,44%,2.0,7.0,2.0,3.0,0.0,2.0,0.0,2.0,6.0,4.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-05-Montpellier-Caen,ligue-1,home,Montpellier,Caen,05.08.2017,1,0,2017-2018,52%,48%,10.0,8.0,2.0,1.0,8.0,5.0,0.0,2.0,13.0,10.0,9.0,3.0,1.0,2.0,1.0,1.0,9.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,53%,47%,6.0,5.0,1.0,1.0,5.0,3.0,0.0,1.0,6.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,51%,49%,4.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,7.0,5.0,8.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-05-Paris SG-Amiens,ligue-1,home,Paris SG,Amiens,05.08.2017,2,0,2017-2018,68%,32%,16.0,7.0,5.0,1.0,7.0,4.0,4.0,2.0,12.0,12.0,8.0,3.0,3.0,0.0,1.0,3.0,9.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,71%,29%,12.0,2.0,2.0,0.0,6.0,2.0,4.0,0.0,2.0,8.0,5.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65%,35%,4.0,5.0,3.0,1.0,1.0,2.0,0.0,2.0,10.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-05-St Etienne-Nice,ligue-1,home,St Etienne,Nice,05.08.2017,1,0,2017-2018,40%,60%,8.0,6.0,3.0,2.0,3.0,4.0,2.0,0.0,10.0,17.0,2.0,7.0,5.0,2.0,2.0,2.0,11.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,42%,58%,6.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,9.0,2.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,38%,62%,2.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,7.0,8.0,0.0,5.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-05-Troyes-Rennes,ligue-1,home,Troyes,Rennes,05.08.2017,1,1,2017-2018,36%,64%,11.0,16.0,4.0,4.0,6.0,9.0,1.0,3.0,9.0,14.0,6.0,7.0,2.0,1.0,3.0,3.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,40%,60%,10.0,7.0,3.0,3.0,5.0,3.0,2.0,1.0,3.0,9.0,6.0,3.0,2.0,0.0,3.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32%,68%,1.0,9.0,1.0,1.0,1.0,6.0,-1.0,2.0,6.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-06-Angers-Bordeaux,ligue-1,home,Angers,Bordeaux,06.08.2017,2,2,2017-2018,45%,55%,9.0,7.0,5.0,4.0,3.0,2.0,1.0,1.0,18.0,17.0,0.0,5.0,1.0,4.0,2.0,3.0,16.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,41%,59%,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,7.0,0.0,4.0,1.0,2.0,1.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,49%,51%,6.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,9.0,10.0,0.0,1.0,0.0,2.0,1.0,2.0,10.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-06-Lille-Nantes,ligue-1,home,Lille,Nantes,06.08.2017,3,0,2017-2018,63%,37%,13.0,9.0,5.0,4.0,4.0,2.0,4.0,3.0,17.0,12.0,15.0,3.0,1.0,2.0,4.0,2.0,11.0,16.0,2.0,3.0,0.0,0.0,0.0,0.0,69%,31%,7.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,5.0,9.0,0.0,1.0,0.0,1.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,57%,43%,6.0,6.0,3.0,3.0,1.0,1.0,2.0,2.0,11.0,7.0,6.0,3.0,0.0,2.0,3.0,0.0,7.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2017-2018-2017-08-06-Marseille-Dijon,ligue-1,home,Marseille,Dijon,06.08.2017,3,0,2017-2018,53%,47%,18.0,12.0,5.0,1.0,7.0,7.0,6.0,4.0,12.0,12.0,7.0,3.0,5.0,2.0,1.0,2.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,58%,42%,5.0,8.0,1.0,1.0,1.0,4.0,3.0,3.0,7.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,48%,52%,13.0,4.0,4.0,0.0,6.0,3.0,3.0,1.0,5.0,7.0,3.0,0.0,4.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
