match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2017-2018-2017-08-11-Arsenal-Leicester,premier-league,home,Arsenal,Leicester,11.08.2017,4,3,2017-2018,70%,30%,27,6,10,3,8,3,9,0,15,14,9,4,5,3,0,6,9,12,0.0,1.0,632,263,24,17,0.0,0.0,0.0,0.0,71%,29%,11,4,4,2,2,2,5,0,11,5,4,3,2,2,0,2,3,9,353,131,13,8,0.0,0.0,0.0,0.0,69%,31%,16,2,6,1,6,1,4,0,4,9,5,1,3,1,0,4,6,3,0.0,1.0,279,132,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-12-Brighton-Manchester City,premier-league,home,Brighton,Manchester City,12.08.2017,0,2,2017-2018,22%,78%,6,14,2,4,2,5,2,5,10,12,3,10,6,1,2,2,6,9,0.0,2.0,213,767,11,10,0.0,0.0,0.0,0.0,24%,76%,1,9,1,2,0,4,0,3,5,7,0,5,4,0,2,1,3,5,111,354,8,2,0.0,0.0,0.0,0.0,20%,80%,5,5,1,2,2,1,2,2,5,5,3,5,2,1,0,1,3,4,0.0,1.0,102,413,3,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-12-Chelsea-Burnley,premier-league,home,Chelsea,Burnley,12.08.2017,2,3,2017-2018,62%,38%,19,10,6,5,6,4,7,1,12,18,8,5,2,1,2,4,16,12,5.0,3.0,523,314,11,11,0.0,0.0,0.0,0.0,58%,42%,5,5,0,4,1,1,4,0,3,8,1,2,0,0,1,0,8,3,287,204,4,6,0.0,0.0,0.0,0.0,66%,34%,14,5,6,1,5,3,3,1,9,10,7,3,2,1,1,4,8,9,3.0,3.0,236,110,7,5,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-12-Crystal Palace-Huddersfield,premier-league,home,Crystal Palace,Huddersfield,12.08.2017,0,3,2017-2018,57%,43%,14,8,4,6,7,2,3,0,21,7,12,9,0,2,3,4,7,19,1.0,3.0,391,303,23,28,0.0,0.0,0.0,0.0,56%,44%,5,5,1,4,3,1,1,0,11,4,5,5,0,1,2,1,4,10,150,178,6,7,0.0,0.0,0.0,0.0,58%,42%,9,3,3,2,4,1,2,0,10,3,7,4,0,1,1,3,3,9,1.0,2.0,241,125,17,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-12-Everton-Stoke,premier-league,home,Everton,Stoke,12.08.2017,1,0,2017-2018,62%,38%,9,9,4,1,3,6,2,2,16,15,6,7,2,6,1,3,13,10,1.0,1.0,494,289,15,16,0.0,0.0,0.0,0.0,64%,36%,4,4,2,0,2,3,0,1,7,8,2,4,2,3,0,1,6,4,280,149,4,7,0.0,0.0,0.0,0.0,60%,40%,5,5,2,1,1,3,2,1,9,7,4,3,0,3,1,2,7,6,1.0,0.0,214,140,11,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-12-Southampton-Swansea,premier-league,home,Southampton,Swansea,12.08.2017,0,0,2017-2018,60%,40%,29,4,2,0,16,2,11,2,14,10,13,0,0,1,0,2,10,13,2.0,1.0,520,366,12,10,0.0,0.0,0.0,0.0,53%,47%,13,2,1,0,8,1,4,1,8,7,5,0,0,1,0,1,7,7,219,203,4,6,0.0,0.0,0.0,0.0,67%,33%,16,2,1,0,8,1,7,1,6,3,8,0,0,0,0,1,3,6,0.0,1.0,301,163,8,4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-12-Watford-Liverpool,premier-league,home,Watford,Liverpool,12.08.2017,3,3,2017-2018,46%,54%,9,14,4,5,4,8,1,1,9,17,3,3,3,1,2,1,14,8,0.0,3.0,396,476,18,18,0.0,0.0,0.0,0.0,44%,56%,4,3,2,1,1,2,1,0,5,11,2,1,2,1,0,0,9,4,211,270,7,8,0.0,0.0,0.0,0.0,48%,52%,5,11,2,4,3,6,0,1,4,6,1,2,1,0,2,1,5,4,0.0,2.0,185,206,11,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-12-West Brom-Bournemouth,premier-league,home,West Brom,Bournemouth,12.08.2017,1,0,2017-2018,29%,71%,16,8,6,1,9,2,1,5,3,17,8,2,2,0,1,5,15,3,3.0,1.0,241,608,19,16,0.0,0.0,0.0,0.0,30%,70%,11,2,4,0,6,1,1,1,1,5,3,1,1,0,0,3,4,1,129,301,9,11,0.0,0.0,0.0,0.0,28%,72%,5,6,2,1,3,1,0,4,2,12,5,1,1,0,1,2,11,2,2.0,1.0,112,307,10,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-13-Manchester Utd-West Ham,premier-league,home,Manchester Utd,West Ham,13.08.2017,4,0,2017-2018,55%,45%,21,8,5,1,8,6,8,1,11,20,11,1,1,4,1,1,19,7,2.0,2.0,491,398,14,21,0.0,0.0,0.0,0.0,66%,34%,10,4,2,1,3,2,5,1,6,10,9,0,0,2,1,1,10,4,283,153,6,12,0.0,0.0,0.0,0.0,44%,56%,11,4,3,0,5,4,3,0,5,10,2,1,1,2,0,0,9,3,1.0,2.0,208,245,8,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-13-Newcastle-Tottenham,premier-league,home,Newcastle,Tottenham,13.08.2017,0,2,2017-2018,27%,73%,6,18,2,6,4,5,0,7,11,9,5,7,2,1,4,2,6,10,1.0,2.0,246,699,17,15,0.0,0.0,0.0,0.0,32%,68%,1,9,0,2,1,4,0,3,5,6,4,4,2,0,2,0,4,5,125,270,12,11,0.0,0.0,0.0,0.0,22%,78%,5,9,2,4,3,1,0,4,6,3,1,3,0,1,2,2,2,5,1.0,1.0,121,429,5,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
