match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2019-2020-2019-08-09-Liverpool-Norwich,premier-league,home,Liverpool,Norwich,09.08.2019,4,1,2019-2020,58%,42%,15.0,12.0,7.0,5.0,5.0,6.0,3.0,1.0,13.0,9.0,11.0,2.0,0.0,5.0,4.0,3.0,9.0,9.0,0.0,2.0,477.0,363.0,387.0,278.0,20.0,12.0,86.0,50.0,62.0,29.0,56%,44%,6.0,7.0,4.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,256.0,208.0,209.0,162.0,8.0,7.0,47.0,31.0,34.0,15.0,60%,40%,9.0,5.0,3.0,3.0,4.0,2.0,2.0,0.0,9.0,7.0,6.0,1.0,0.0,4.0,2.0,3.0,7.0,6.0,0.0,2.0,221.0,155.0,178.0,116.0,12.0,5.0,39.0,19.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-10-Bournemouth-Sheffield Utd,premier-league,home,Bournemouth,Sheffield Utd,10.08.2019,1,1,2019-2020,53%,47%,13.0,8.0,3.0,3.0,7.0,4.0,3.0,1.0,19.0,11.0,3.0,4.0,1.0,1.0,2.0,2.0,10.0,19.0,2.0,1.0,485.0,428.0,384.0,332.0,19.0,15.0,102.0,104.0,36.0,45.0,60%,40%,3.0,4.0,0.0,2.0,3.0,1.0,0.0,1.0,10.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,5.0,9.0,300.0,191.0,243.0,134.0,7.0,5.0,72.0,51.0,13.0,19.0,45%,55%,10.0,4.0,3.0,1.0,4.0,3.0,3.0,0.0,9.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,10.0,1.0,1.0,185.0,237.0,141.0,198.0,12.0,10.0,30.0,53.0,23.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-10-Burnley-Southampton,premier-league,home,Burnley,Southampton,10.08.2019,3,0,2019-2020,46%,54%,10.0,11.0,4.0,3.0,4.0,5.0,2.0,3.0,13.0,10.0,2.0,7.0,5.0,1.0,3.0,1.0,6.0,12.0,0.0,0.0,332.0,393.0,183.0,249.0,21.0,8.0,95.0,115.0,33.0,32.0,47%,53%,2.0,6.0,0.0,2.0,2.0,2.0,0.0,2.0,8.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,7.0,182.0,211.0,96.0,138.0,10.0,4.0,56.0,65.0,16.0,15.0,45%,55%,8.0,5.0,4.0,1.0,2.0,3.0,2.0,1.0,5.0,7.0,2.0,5.0,3.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,150.0,182.0,87.0,111.0,11.0,4.0,39.0,50.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-10-Crystal Palace-Everton,premier-league,home,Crystal Palace,Everton,10.08.2019,0,0,2019-2020,35%,65%,6.0,10.0,2.0,3.0,0.0,3.0,4.0,4.0,14.0,21.0,6.0,2.0,4.0,0.0,3.0,2.0,16.0,14.0,2.0,3.0,268.0,500.0,161.0,401.0,21.0,12.0,101.0,119.0,42.0,55.0,31%,69%,3.0,6.0,0.0,1.0,0.0,2.0,3.0,3.0,7.0,6.0,3.0,2.0,1.0,0.0,1.0,0.0,5.0,7.0,127.0,278.0,75.0,222.0,11.0,5.0,48.0,65.0,17.0,27.0,39%,61%,3.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,7.0,15.0,3.0,0.0,3.0,0.0,2.0,2.0,11.0,7.0,1.0,3.0,141.0,222.0,86.0,179.0,10.0,7.0,53.0,54.0,25.0,28.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-10-Tottenham-Aston Villa,premier-league,home,Tottenham,Aston Villa,10.08.2019,3,1,2019-2020,70%,30%,31.0,7.0,7.0,4.0,14.0,2.0,10.0,1.0,9.0,14.0,14.0,0.0,1.0,0.0,3.0,4.0,13.0,9.0,1.0,0.0,587.0,256.0,526.0,200.0,16.0,28.0,152.0,51.0,91.0,16.0,71%,29%,7.0,5.0,1.0,4.0,6.0,0.0,0.0,1.0,4.0,8.0,4.0,0.0,1.0,0.0,3.0,1.0,7.0,4.0,323.0,132.0,288.0,104.0,5.0,15.0,78.0,31.0,40.0,11.0,69%,31%,24.0,2.0,6.0,0.0,8.0,2.0,10.0,0.0,5.0,6.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,1.0,0.0,264.0,124.0,238.0,96.0,11.0,13.0,74.0,20.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-10-Watford-Brighton,premier-league,home,Watford,Brighton,10.08.2019,0,3,2019-2020,48%,52%,11.0,5.0,3.0,3.0,4.0,2.0,4.0,0.0,14.0,15.0,5.0,2.0,0.0,3.0,0.0,3.0,15.0,11.0,0.0,1.0,414.0,442.0,325.0,347.0,13.0,24.0,128.0,77.0,37.0,35.0,44%,56%,5.0,3.0,1.0,1.0,4.0,2.0,0.0,0.0,9.0,6.0,3.0,0.0,0.0,2.0,0.0,1.0,6.0,7.0,173.0,225.0,130.0,172.0,2.0,11.0,61.0,44.0,18.0,15.0,52%,48%,6.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,5.0,9.0,2.0,2.0,0.0,1.0,0.0,2.0,9.0,4.0,0.0,1.0,241.0,217.0,195.0,175.0,11.0,13.0,67.0,33.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-10-West Ham-Manchester City,premier-league,home,West Ham,Manchester City,10.08.2019,0,5,2019-2020,43%,57%,5.0,14.0,3.0,9.0,2.0,3.0,0.0,2.0,12.0,5.0,1.0,1.0,2.0,4.0,4.0,3.0,6.0,13.0,2.0,2.0,403.0,547.0,325.0,473.0,19.0,20.0,120.0,105.0,41.0,47.0,45%,55%,1.0,8.0,1.0,4.0,0.0,2.0,0.0,2.0,8.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,232.0,290.0,191.0,249.0,8.0,13.0,72.0,30.0,24.0,29.0,41%,59%,4.0,6.0,2.0,5.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,5.0,5.0,2.0,2.0,171.0,257.0,134.0,224.0,11.0,7.0,48.0,75.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-11-Leicester-Wolves,premier-league,home,Leicester,Wolves,11.08.2019,0,0,2019-2020,70%,30%,15.0,8.0,1.0,2.0,9.0,4.0,5.0,2.0,12.0,4.0,12.0,3.0,0.0,1.0,2.0,1.0,3.0,13.0,0.0,2.0,665.0,291.0,565.0,203.0,20.0,18.0,165.0,79.0,81.0,28.0,69%,31%,6.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,355.0,160.0,305.0,117.0,9.0,7.0,73.0,48.0,30.0,20.0,71%,29%,9.0,6.0,1.0,2.0,5.0,2.0,3.0,2.0,4.0,0.0,9.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,310.0,131.0,260.0,86.0,11.0,11.0,92.0,31.0,51.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-11-Manchester Utd-Chelsea,premier-league,home,Manchester Utd,Chelsea,11.08.2019,4,0,2019-2020,46%,54%,11.0,18.0,5.0,7.0,2.0,7.0,4.0,4.0,12.0,17.0,3.0,5.0,2.0,0.0,7.0,1.0,15.0,13.0,3.0,4.0,449.0,523.0,364.0,442.0,16.0,20.0,80.0,140.0,51.0,51.0,45%,55%,5.0,8.0,2.0,3.0,2.0,4.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,0.0,3.0,1.0,6.0,6.0,221.0,277.0,181.0,231.0,7.0,11.0,44.0,67.0,29.0,21.0,47%,53%,6.0,10.0,3.0,4.0,0.0,3.0,3.0,3.0,7.0,10.0,2.0,4.0,1.0,0.0,4.0,0.0,9.0,7.0,3.0,3.0,228.0,246.0,183.0,211.0,9.0,9.0,36.0,73.0,22.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2019-2020-2019-08-11-Newcastle-Arsenal,premier-league,home,Newcastle,Arsenal,11.08.2019,0,1,2019-2020,38%,62%,9.0,8.0,2.0,2.0,4.0,4.0,3.0,2.0,10.0,17.0,5.0,3.0,1.0,3.0,1.0,2.0,12.0,7.0,1.0,3.0,378.0,616.0,288.0,524.0,27.0,10.0,103.0,137.0,48.0,52.0,30%,70%,5.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,7.0,2.0,2.0,0.0,2.0,1.0,1.0,5.0,4.0,158.0,364.0,112.0,323.0,17.0,5.0,38.0,86.0,23.0,27.0,46%,54%,4.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,10.0,3.0,1.0,1.0,1.0,0.0,1.0,7.0,3.0,0.0,1.0,220.0,252.0,176.0,201.0,10.0,5.0,65.0,51.0,25.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
