match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Red Cards,opponent Match Red Cards,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Red Cards,opponent 2nd half Red Cards,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Red Cards,opponent 1st half Red Cards,Match Goal Kicks,opponent Match Goal Kicks,Match Pass Success %,opponent Match Pass Success %,Match Total Passes,opponent Match Total Passes,1st half Goal Kicks,opponent 1st half Goal Kicks,1st half Pass Success %,opponent 1st half Pass Success %,1st half Total Passes,opponent 1st half Total Passes,2nd half Goal Kicks,opponent 2nd half Goal Kicks,2nd half Pass Success %,opponent 2nd half Pass Success %,2nd half Total Passes,opponent 2nd half Total Passes,Match Throw-in,opponent Match Throw-in,1st half Throw-in,opponent 1st half Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
laliga-2015-2016-2015-08-21-Malaga-Sevilla,laliga,home,Malaga,Sevilla,21.08.2015,0,0,2015-2016,54%,46%,25.0,10.0,5.0,2.0,13.0,7.0,7.0,1.0,13.0,19.0,7.0,2.0,1.0,3.0,2.0,5.0,19.0,11.0,0.0,1.0,3.0,5.0,51%,49%,11.0,7.0,2.0,1.0,6.0,6.0,3.0,0.0,4.0,9.0,4.0,1.0,0.0,0.0,1.0,2.0,9.0,4.0,2.0,1.0,57%,43%,14.0,3.0,3.0,1.0,7.0,1.0,4.0,1.0,9.0,10.0,3.0,1.0,1.0,3.0,1.0,3.0,10.0,7.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-22-Atl. Madrid-Las Palmas,laliga,home,Atl. Madrid,Las Palmas,22.08.2015,1,0,2015-2016,58%,42%,14.0,8.0,3.0,1.0,8.0,4.0,3.0,3.0,16.0,11.0,4.0,4.0,0.0,0.0,1.0,2.0,11.0,16.0,0.0,0.0,2.0,0.0,62%,38%,7.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,54%,46%,7.0,7.0,1.0,1.0,4.0,3.0,2.0,3.0,10.0,6.0,2.0,4.0,0.0,0.0,1.0,1.0,6.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-22-Dep. La Coruna-Real Sociedad,laliga,home,Dep. La Coruna,Real Sociedad,22.08.2015,0,0,2015-2016,58%,42%,15.0,9.0,5.0,2.0,6.0,1.0,4.0,6.0,12.0,19.0,5.0,4.0,2.0,2.0,2.0,5.0,16.0,10.0,0.0,0.0,3.0,2.0,64%,36%,7.0,6.0,2.0,1.0,4.0,1.0,1.0,4.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,52%,48%,8.0,3.0,3.0,1.0,2.0,0.0,3.0,2.0,6.0,13.0,3.0,2.0,1.0,1.0,1.0,3.0,11.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-22-Espanyol-Getafe,laliga,home,Espanyol,Getafe,22.08.2015,1,0,2015-2016,33%,67%,5.0,13.0,2.0,3.0,2.0,7.0,1.0,3.0,16.0,24.0,5.0,6.0,5.0,2.0,3.0,1.0,19.0,14.0,0.0,1.0,2.0,5.0,38%,62%,2.0,6.0,2.0,2.0,0.0,4.0,0.0,0.0,9.0,16.0,3.0,2.0,4.0,2.0,2.0,1.0,12.0,7.0,0.0,0.0,28%,72%,3.0,7.0,0.0,1.0,2.0,3.0,1.0,3.0,7.0,8.0,2.0,4.0,1.0,0.0,1.0,0.0,7.0,7.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-22-Rayo Vallecano-Valencia,laliga,home,Rayo Vallecano,Valencia,22.08.2015,0,0,2015-2016,53%,47%,8.0,10.0,3.0,4.0,2.0,4.0,3.0,2.0,12.0,19.0,3.0,3.0,0.0,1.0,4.0,3.0,19.0,11.0,0.0,0.0,3.0,1.0,52%,48%,5.0,5.0,3.0,3.0,1.0,2.0,1.0,0.0,4.0,10.0,0.0,2.0,0.0,1.0,3.0,3.0,10.0,3.0,1.0,0.0,54%,46%,3.0,5.0,0.0,1.0,1.0,2.0,2.0,2.0,8.0,9.0,3.0,1.0,0.0,0.0,1.0,0.0,9.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-23-Ath Bilbao-Barcelona,laliga,home,Ath Bilbao,Barcelona,23.08.2015,0,1,2015-2016,36%,64%,8.0,10.0,2.0,4.0,3.0,3.0,3.0,3.0,15.0,20.0,2.0,4.0,4.0,4.0,3.0,2.0,16.0,11.0,0.0,0.0,3.0,3.0,29%,71%,5.0,7.0,1.0,2.0,1.0,2.0,3.0,3.0,7.0,11.0,2.0,2.0,2.0,0.0,2.0,1.0,9.0,7.0,2.0,1.0,43%,57%,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,8.0,9.0,0.0,2.0,2.0,4.0,1.0,1.0,7.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-23-Betis-Villarreal,laliga,home,Betis,Villarreal,23.08.2015,1,1,2015-2016,64%,36%,22.0,8.0,6.0,4.0,13.0,4.0,3.0,0.0,27.0,12.0,7.0,5.0,1.0,2.0,3.0,5.0,11.0,26.0,0.0,1.0,3.0,1.0,60%,40%,6.0,3.0,0.0,2.0,5.0,1.0,1.0,0.0,10.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,10.0,2.0,0.0,68%,32%,16.0,5.0,6.0,2.0,8.0,3.0,2.0,0.0,17.0,8.0,5.0,2.0,0.0,1.0,2.0,5.0,8.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-23-Gijon-Real Madrid,laliga,home,Gijon,Real Madrid,23.08.2015,0,0,2015-2016,36%,64%,6.0,27.0,0.0,8.0,4.0,14.0,2.0,5.0,5.0,22.0,2.0,5.0,2.0,1.0,8.0,0.0,20.0,4.0,0.0,0.0,4.0,0.0,41%,59%,3.0,10.0,0.0,2.0,3.0,6.0,0.0,2.0,2.0,10.0,0.0,1.0,1.0,0.0,2.0,0.0,9.0,2.0,1.0,0.0,31%,69%,3.0,17.0,0.0,6.0,1.0,8.0,2.0,3.0,3.0,12.0,2.0,4.0,1.0,1.0,6.0,0.0,11.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-23-Levante-Celta Vigo,laliga,home,Levante,Celta Vigo,23.08.2015,1,2,2015-2016,40%,60%,11.0,15.0,2.0,6.0,7.0,6.0,2.0,3.0,17.0,12.0,4.0,6.0,0.0,0.0,4.0,1.0,12.0,17.0,1.0,0.0,1.0,3.0,32%,68%,5.0,7.0,1.0,2.0,3.0,4.0,1.0,1.0,7.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,1.0,48%,52%,6.0,8.0,1.0,4.0,4.0,2.0,1.0,2.0,10.0,6.0,2.0,4.0,0.0,0.0,3.0,0.0,5.0,10.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2015-2016-2015-08-24-Granada CF-Eibar,laliga,home,Granada CF,Eibar,24.08.2015,1,3,2015-2016,59%,41%,12.0,10.0,6.0,4.0,5.0,4.0,1.0,2.0,27.0,6.0,6.0,5.0,1.0,3.0,1.0,5.0,5.0,23.0,1.0,0.0,1.0,6.0,64%,36%,5.0,6.0,2.0,3.0,3.0,2.0,0.0,1.0,12.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,12.0,0.0,2.0,54%,46%,7.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,15.0,2.0,4.0,3.0,0.0,3.0,0.0,3.0,2.0,11.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
