match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,1st half Throw-in,opponent 1st half Throw-in,2nd half Throw-in,opponent 2nd half Throw-in,Match Pass Success %,opponent Match Pass Success %,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,2nd half Pass Success %,opponent 2nd half Pass Success %,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles
laliga-2016-2017-2016-08-19-Dep. La Coruna-Eibar,laliga,home,Dep. La Coruna,Eibar,19.08.2016,2,1,2016-2017,50%,50%,11.0,12.0,6.0,6.0,5.0,2.0,0.0,4.0,18.0,18.0,1.0,8.0,4.0,2.0,5.0,4.0,14.0,17.0,3.0,3.0,45%,55%,6.0,5.0,2.0,2.0,4.0,1.0,0.0,2.0,11.0,10.0,1.0,4.0,2.0,0.0,2.0,2.0,8.0,11.0,57%,43%,5.0,7.0,4.0,4.0,1.0,1.0,0.0,2.0,7.0,8.0,0.0,4.0,2.0,2.0,3.0,2.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-19-Malaga-Osasuna,laliga,home,Malaga,Osasuna,19.08.2016,1,1,2016-2017,55%,45%,14.0,8.0,4.0,3.0,6.0,2.0,4.0,3.0,24.0,12.0,5.0,3.0,1.0,1.0,2.0,3.0,11.0,22.0,2.0,3.0,60%,40%,5.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,14.0,9.0,3.0,2.0,0.0,1.0,1.0,1.0,9.0,13.0,49%,51%,9.0,6.0,3.0,2.0,3.0,2.0,3.0,2.0,10.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,9.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-20-Barcelona-Betis,laliga,home,Barcelona,Betis,20.08.2016,6,2,2016-2017,73%,27%,30.0,6.0,12.0,2.0,6.0,3.0,12.0,1.0,12.0,18.0,10.0,2.0,4.0,0.0,0.0,6.0,17.0,13.0,1.0,3.0,69%,31%,11.0,3.0,3.0,1.0,2.0,2.0,6.0,0.0,2.0,9.0,4.0,1.0,2.0,0.0,0.0,0.0,9.0,3.0,77%,23%,19.0,3.0,9.0,1.0,4.0,1.0,6.0,1.0,10.0,9.0,6.0,1.0,2.0,0.0,0.0,6.0,8.0,10.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-20-Granada CF-Villarreal,laliga,home,Granada CF,Villarreal,20.08.2016,1,1,2016-2017,68%,32%,7.0,12.0,1.0,3.0,6.0,5.0,0.0,4.0,12.0,14.0,7.0,3.0,1.0,3.0,2.0,0.0,17.0,11.0,2.0,3.0,70%,30%,2.0,5.0,0.0,1.0,2.0,1.0,0.0,3.0,6.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,5.0,6.0,66%,34%,5.0,7.0,1.0,2.0,4.0,4.0,0.0,1.0,6.0,10.0,1.0,1.0,1.0,2.0,1.0,0.0,12.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-20-Sevilla-Espanyol,laliga,home,Sevilla,Espanyol,20.08.2016,6,4,2016-2017,73%,27%,16.0,10.0,11.0,7.0,2.0,1.0,3.0,2.0,15.0,11.0,8.0,2.0,2.0,0.0,3.0,5.0,8.0,15.0,2.0,2.0,75%,25%,9.0,6.0,7.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,1.0,1.0,0.0,1.0,4.0,3.0,5.0,71%,29%,7.0,4.0,4.0,3.0,1.0,0.0,2.0,1.0,10.0,6.0,2.0,1.0,1.0,0.0,2.0,1.0,5.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-21-Atl. Madrid-Alaves,laliga,home,Atl. Madrid,Alaves,21.08.2016,1,1,2016-2017,62%,38%,27.0,2.0,6.0,1.0,13.0,1.0,8.0,0.0,15.0,11.0,20.0,2.0,7.0,1.0,0.0,5.0,7.0,15.0,0.0,4.0,61%,39%,11.0,1.0,2.0,0.0,5.0,1.0,4.0,0.0,5.0,6.0,8.0,0.0,3.0,0.0,0.0,2.0,4.0,5.0,63%,37%,16.0,1.0,4.0,1.0,8.0,0.0,4.0,0.0,10.0,5.0,12.0,2.0,4.0,1.0,0.0,3.0,3.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-21-Gijon-Ath Bilbao,laliga,home,Gijon,Ath Bilbao,21.08.2016,2,1,2016-2017,38%,62%,12.0,13.0,4.0,4.0,8.0,7.0,0.0,2.0,14.0,19.0,2.0,5.0,2.0,0.0,3.0,2.0,18.0,15.0,3.0,3.0,41%,59%,6.0,3.0,0.0,1.0,5.0,1.0,1.0,1.0,7.0,9.0,1.0,2.0,2.0,0.0,1.0,0.0,8.0,7.0,35%,65%,6.0,10.0,4.0,3.0,3.0,6.0,-1.0,1.0,7.0,10.0,1.0,3.0,0.0,0.0,2.0,2.0,10.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-21-Real Sociedad-Real Madrid,laliga,home,Real Sociedad,Real Madrid,21.08.2016,0,3,2016-2017,45%,55%,8.0,18.0,0.0,8.0,4.0,7.0,4.0,3.0,9.0,21.0,4.0,7.0,0.0,0.0,5.0,0.0,22.0,11.0,2.0,3.0,42%,58%,1.0,10.0,0.0,4.0,0.0,5.0,1.0,1.0,6.0,13.0,1.0,3.0,0.0,0.0,2.0,0.0,14.0,7.0,49%,51%,7.0,8.0,0.0,4.0,4.0,2.0,3.0,2.0,3.0,8.0,3.0,4.0,0.0,0.0,3.0,0.0,8.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-22-Celta Vigo-Leganes,laliga,home,Celta Vigo,Leganes,22.08.2016,0,1,2016-2017,64%,36%,10.0,15.0,2.0,6.0,4.0,5.0,4.0,4.0,13.0,7.0,8.0,4.0,2.0,0.0,5.0,2.0,5.0,13.0,4.0,1.0,69%,31%,5.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,3.0,1.0,2.0,0.0,2.0,2.0,3.0,5.0,59%,41%,5.0,9.0,0.0,4.0,2.0,3.0,3.0,2.0,8.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.0,8.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2016-2017-2016-08-22-Valencia-Las Palmas,laliga,home,Valencia,Las Palmas,22.08.2016,2,4,2016-2017,58%,42%,17.0,6.0,8.0,4.0,7.0,1.0,2.0,1.0,21.0,17.0,12.0,1.0,3.0,3.0,0.0,6.0,15.0,18.0,2.0,2.0,54%,46%,6.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,14.0,9.0,6.0,0.0,1.0,3.0,0.0,3.0,9.0,11.0,62%,38%,11.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,7.0,8.0,6.0,1.0,2.0,0.0,0.0,3.0,6.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
