match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Throw-in,opponent Match Throw-in,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Red Cards,opponent Match Red Cards,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Throw-in,opponent 1st half Throw-in,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Red Cards,opponent 1st half Red Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Throw-in,opponent 2nd half Throw-in,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Total Passes,opponent Match Total Passes,2nd half Total Passes,opponent 2nd half Total Passes
ligue-1-2015-2016-2015-08-07-Lille-Paris SG,ligue-1,home,Lille,Paris SG,07.08.2015,0,1,2015-2016,52%,48%,12.0,7.0,2.0,2.0,4.0,2.0,6.0,3.0,19.0,20.0,3.0,2.0,0.0,2.0,15.0,21.0,1.0,2.0,20.0,17.0,0.0,1.0,3.0,4.0,46%,54%,4.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,11.0,4.0,0.0,2.0,0.0,2.0,5.0,8.0,0.0,1.0,4.0,9.0,0.0,1.0,0.0,2.0,58%,42%,8.0,4.0,1.0,2.0,4.0,1.0,3.0,1.0,8.0,16.0,3.0,0.0,0.0,0.0,10.0,13.0,1.0,1.0,16.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-08-Bastia-Rennes,ligue-1,home,Bastia,Rennes,08.08.2015,2,1,2015-2016,54%,46%,10.0,6.0,3.0,3.0,5.0,2.0,2.0,1.0,23.0,15.0,6.0,2.0,1.0,4.0,25.0,25.0,2.0,1.0,15.0,19.0,1.0,0.0,0.0,1.0,48%,52%,4.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,11.0,7.0,1.0,1.0,0.0,2.0,13.0,12.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,60%,40%,6.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,12.0,8.0,5.0,1.0,1.0,2.0,12.0,13.0,2.0,1.0,7.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-08-Marseille-Caen,ligue-1,home,Marseille,Caen,08.08.2015,0,1,2015-2016,66%,34%,17.0,8.0,5.0,4.0,10.0,4.0,2.0,0.0,10.0,12.0,14.0,2.0,3.0,0.0,27.0,24.0,3.0,5.0,11.0,11.0,0.0,0.0,1.0,0.0,62%,38%,6.0,5.0,1.0,4.0,3.0,1.0,2.0,0.0,5.0,7.0,4.0,2.0,2.0,0.0,18.0,20.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,72%,28%,11.0,3.0,4.0,0.0,7.0,3.0,0.0,0.0,5.0,5.0,10.0,0.0,1.0,0.0,9.0,4.0,0.0,4.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-08-Montpellier-Angers,ligue-1,home,Montpellier,Angers,08.08.2015,0,2,2015-2016,59%,41%,8.0,15.0,3.0,6.0,4.0,7.0,1.0,2.0,15.0,15.0,5.0,9.0,2.0,1.0,28.0,22.0,4.0,3.0,14.0,12.0,0.0,0.0,3.0,2.0,55%,45%,4.0,7.0,2.0,1.0,2.0,4.0,0.0,2.0,6.0,8.0,0.0,1.0,0.0,2.0,14.0,11.0,0.0,2.0,7.0,6.0,0.0,0.0,1.0,1.0,63%,37%,4.0,8.0,1.0,5.0,2.0,3.0,1.0,0.0,9.0,7.0,5.0,8.0,2.0,-1.0,14.0,11.0,4.0,1.0,7.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-08-Nantes-Guingamp,ligue-1,home,Nantes,Guingamp,08.08.2015,1,0,2015-2016,54%,46%,10.0,10.0,5.0,4.0,2.0,3.0,3.0,3.0,16.0,14.0,6.0,2.0,3.0,0.0,25.0,25.0,4.0,4.0,13.0,16.0,0.0,0.0,2.0,3.0,60%,40%,6.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,10.0,6.0,3.0,1.0,0.0,0.0,15.0,12.0,2.0,2.0,6.0,10.0,0.0,0.0,1.0,2.0,48%,52%,4.0,7.0,3.0,2.0,1.0,2.0,0.0,3.0,6.0,8.0,3.0,1.0,3.0,0.0,10.0,13.0,2.0,2.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-08-Nice-Monaco,ligue-1,home,Nice,Monaco,08.08.2015,1,2,2015-2016,43%,57%,5.0,20.0,2.0,6.0,2.0,9.0,1.0,5.0,17.0,20.0,2.0,10.0,2.0,0.0,15.0,19.0,4.0,1.0,18.0,17.0,1.0,0.0,4.0,2.0,49%,51%,2.0,5.0,1.0,0.0,1.0,4.0,0.0,1.0,12.0,11.0,1.0,4.0,1.0,0.0,7.0,9.0,0.0,0.0,10.0,13.0,1.0,0.0,3.0,2.0,37%,63%,3.0,15.0,1.0,6.0,1.0,5.0,1.0,4.0,5.0,9.0,1.0,6.0,1.0,0.0,8.0,10.0,4.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-08-Troyes-GFC Ajaccio,ligue-1,home,Troyes,GFC Ajaccio,08.08.2015,0,0,2015-2016,52%,48%,13.0,6.0,6.0,1.0,6.0,3.0,1.0,2.0,14.0,11.0,8.0,5.0,1.0,5.0,21.0,20.0,1.0,6.0,10.0,8.0,0.0,0.0,0.0,4.0,57%,43%,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,4.0,1.0,0.0,2.0,8.0,8.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,47%,53%,10.0,3.0,5.0,0.0,5.0,2.0,0.0,1.0,5.0,6.0,4.0,4.0,1.0,3.0,13.0,12.0,0.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-09-Bordeaux-Reims,ligue-1,home,Bordeaux,Reims,09.08.2015,1,2,2015-2016,50%,50%,13.0,12.0,4.0,5.0,5.0,5.0,4.0,2.0,14.0,15.0,4.0,3.0,2.0,1.0,37.0,28.0,3.0,3.0,13.0,13.0,0.0,0.0,3.0,2.0,51%,49%,4.0,5.0,2.0,0.0,2.0,3.0,0.0,2.0,5.0,6.0,2.0,2.0,0.0,1.0,14.0,17.0,0.0,1.0,6.0,4.0,0.0,0.0,1.0,1.0,49%,51%,9.0,7.0,2.0,5.0,3.0,2.0,4.0,0.0,9.0,9.0,2.0,1.0,2.0,0.0,23.0,11.0,3.0,2.0,7.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-09-Lyon-Lorient,ligue-1,home,Lyon,Lorient,09.08.2015,0,0,2015-2016,62%,38%,20.0,10.0,6.0,5.0,11.0,2.0,3.0,3.0,12.0,11.0,7.0,2.0,0.0,0.0,31.0,12.0,5.0,6.0,11.0,12.0,0.0,0.0,1.0,2.0,62%,38%,14.0,8.0,5.0,4.0,8.0,2.0,1.0,2.0,7.0,3.0,4.0,2.0,0.0,0.0,18.0,4.0,4.0,5.0,4.0,7.0,0.0,0.0,0.0,1.0,62%,38%,6.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,5.0,8.0,3.0,0.0,0.0,0.0,13.0,8.0,1.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-09-Toulouse-St Etienne,ligue-1,home,Toulouse,St Etienne,09.08.2015,2,1,2015-2016,49%,51%,9.0,12.0,3.0,1.0,5.0,8.0,1.0,3.0,11.0,14.0,3.0,4.0,3.0,1.0,23.0,28.0,0.0,1.0,11.0,10.0,1.0,0.0,0.0,1.0,50%,50%,3.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,7.0,2.0,4.0,2.0,0.0,7.0,12.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,48%,52%,6.0,8.0,1.0,0.0,4.0,7.0,1.0,1.0,4.0,7.0,1.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-08-14-Monaco-Lille,ligue-1,home,Monaco,Lille,14.08.2015,0,0,2015-2016,58%,42%,9.0,9.0,3.0,2.0,5.0,2.0,1.0,5.0,16.0,15.0,4.0,6.0,3.0,0.0,0.0,0.0,2.0,3.0,12.0,19.0,0.0,0.0,1.0,5.0,58%,42%,6.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,8.0,11.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,8.0,0.0,0.0,1.0,2.0,58%,42%,3.0,7.0,1.0,2.0,1.0,2.0,1.0,3.0,8.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
