match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Blocked Shots,opponent Match Blocked Shots,1st half Blocked Shots,opponent 1st half Blocked Shots,2nd half Blocked Shots,opponent 2nd half Blocked Shots,Match Pass Success %,opponent Match Pass Success %,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,2nd half Pass Success %,opponent 2nd half Pass Success %,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
ligue-1-2016-2017-2016-08-12-Bastia-Paris SG,ligue-1,home,Bastia,Paris SG,12.08.2016,0,1,2016-2017,27%,73%,9.0,9.0,0.0,6.0,9.0,3.0,19.0,13.0,2.0,6.0,0.0,3.0,5.0,0.0,15.0,16.0,3.0,3.0,25%,75%,8.0,2.0,0.0,2.0,8.0,0.0,10.0,5.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,7.0,1.0,1.0,29%,71%,1.0,7.0,0.0,4.0,1.0,3.0,9.0,8.0,2.0,5.0,0.0,0.0,3.0,0.0,9.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-12-Monaco-Guingamp,ligue-1,home,Monaco,Guingamp,12.08.2016,2,2,2016-2017,66%,34%,21.0,10.0,5.0,5.0,16.0,5.0,15.0,14.0,8.0,2.0,1.0,1.0,3.0,3.0,14.0,15.0,3.0,4.0,66%,34%,4.0,6.0,0.0,4.0,4.0,2.0,5.0,7.0,2.0,2.0,1.0,0.0,2.0,0.0,7.0,5.0,1.0,2.0,66%,34%,17.0,4.0,5.0,1.0,12.0,3.0,10.0,7.0,6.0,0.0,0.0,1.0,1.0,3.0,7.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-13-Bordeaux-St Etienne,ligue-1,home,Bordeaux,St Etienne,13.08.2016,3,2,2016-2017,48%,52%,11.0,14.0,7.0,5.0,4.0,9.0,23.0,14.0,3.0,6.0,5.0,3.0,3.0,4.0,9.0,20.0,1.0,2.0,47%,53%,6.0,3.0,4.0,2.0,2.0,1.0,12.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,10.0,0.0,1.0,49%,51%,5.0,11.0,3.0,3.0,2.0,8.0,11.0,9.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-13-Caen-Lorient,ligue-1,home,Caen,Lorient,13.08.2016,3,2,2016-2017,53%,47%,19.0,9.0,9.0,4.0,10.0,5.0,9.0,13.0,10.0,2.0,2.0,0.0,2.0,6.0,12.0,9.0,1.0,2.0,61%,39%,6.0,4.0,4.0,2.0,2.0,2.0,3.0,6.0,6.0,1.0,2.0,0.0,0.0,2.0,5.0,4.0,0.0,1.0,45%,55%,13.0,5.0,5.0,2.0,8.0,3.0,6.0,7.0,4.0,1.0,0.0,0.0,2.0,4.0,7.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-13-Dijon-Nantes,ligue-1,home,Dijon,Nantes,13.08.2016,0,1,2016-2017,53%,47%,6.0,9.0,2.0,3.0,4.0,6.0,9.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,6.0,11.0,0.0,2.0,50%,50%,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,56%,44%,4.0,6.0,1.0,2.0,3.0,4.0,9.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-13-Metz-Lille,ligue-1,home,Metz,Lille,13.08.2016,3,2,2016-2017,41%,59%,6.0,17.0,3.0,4.0,3.0,13.0,8.0,16.0,4.0,4.0,3.0,0.0,2.0,0.0,13.0,10.0,2.0,2.0,48%,52%,0.0,7.0,0.0,2.0,0.0,5.0,3.0,9.0,2.0,3.0,2.0,0.0,1.0,0.0,7.0,3.0,1.0,1.0,34%,66%,6.0,10.0,3.0,2.0,3.0,8.0,5.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-13-Montpellier-Angers,ligue-1,home,Montpellier,Angers,13.08.2016,1,0,2016-2017,54%,46%,14.0,13.0,4.0,2.0,10.0,11.0,12.0,11.0,7.0,2.0,2.0,1.0,2.0,3.0,9.0,13.0,1.0,2.0,55%,45%,2.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,2.0,53%,47%,12.0,10.0,3.0,1.0,9.0,9.0,7.0,6.0,3.0,0.0,1.0,0.0,1.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-14-Marseille-Toulouse,ligue-1,home,Marseille,Toulouse,14.08.2016,0,0,2016-2017,53%,47%,10.0,6.0,2.0,2.0,8.0,4.0,13.0,16.0,9.0,6.0,2.0,0.0,2.0,2.0,15.0,15.0,3.0,1.0,55%,45%,3.0,3.0,0.0,2.0,3.0,1.0,5.0,8.0,2.0,4.0,2.0,0.0,2.0,0.0,6.0,5.0,1.0,0.0,51%,49%,7.0,3.0,2.0,0.0,5.0,3.0,8.0,8.0,7.0,2.0,0.0,0.0,0.0,2.0,9.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-14-Nancy-Lyon,ligue-1,home,Nancy,Lyon,14.08.2016,0,3,2016-2017,43%,57%,13.0,9.0,2.0,8.0,11.0,1.0,15.0,23.0,4.0,4.0,5.0,2.0,5.0,2.0,18.0,14.0,4.0,2.0,39%,61%,6.0,6.0,1.0,5.0,5.0,1.0,9.0,11.0,1.0,4.0,1.0,1.0,3.0,1.0,10.0,8.0,3.0,2.0,47%,53%,7.0,3.0,1.0,3.0,6.0,0.0,6.0,12.0,3.0,0.0,4.0,1.0,2.0,1.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2016-2017-2016-08-14-Nice-Rennes,ligue-1,home,Nice,Rennes,14.08.2016,1,0,2016-2017,48%,52%,7.0,19.0,1.0,4.0,6.0,15.0,10.0,11.0,4.0,8.0,0.0,1.0,4.0,0.0,12.0,9.0,0.0,1.0,45%,55%,2.0,6.0,0.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,51%,49%,5.0,13.0,1.0,2.0,4.0,11.0,7.0,9.0,0.0,7.0,0.0,1.0,2.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
