match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,Match Red Cards,opponent Match Red Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,2nd half Red Cards,opponent 2nd half Red Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,1st half Red Cards,opponent 1st half Red Cards,Match Tackles,opponent Match Tackles,1st half Tackles,opponent 1st half Tackles,2nd half Tackles,opponent 2nd half Tackles,Extra timeBall Possession,opponent Extra timeBall Possession,Extra timeGoal Attempts,opponent Extra timeGoal Attempts,Extra timeShots on Goal,opponent Extra timeShots on Goal,Extra timeShots off Goal,opponent Extra timeShots off Goal,Extra timeBlocked Shots,opponent Extra timeBlocked Shots,Extra timeFree Kicks,opponent Extra timeFree Kicks,Extra timeCorner Kicks,opponent Extra timeCorner Kicks,Extra timeOffsides,opponent Extra timeOffsides,Extra timeGoalkeeper Saves,opponent Extra timeGoalkeeper Saves,Extra timeFouls,opponent Extra timeFouls,Extra timeYellow Cards,opponent Extra timeYellow Cards,Extra timeTotal Passes,opponent Extra timeTotal Passes,Extra timeTackles,opponent Extra timeTackles,Extra timeAttacks,opponent Extra timeAttacks,Extra timeDangerous Attacks,opponent Extra timeDangerous Attacks,Match Throw-in,opponent Match Throw-in,1st half Throw-in,opponent 1st half Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
ligue-1-2018-2019-2018-08-10-Marseille-Toulouse,ligue-1,home,Marseille,Toulouse,10.08.2018,4,0,2018-2019,61%,39%,23.0,5.0,10.0,1.0,9.0,4.0,4.0,0.0,19.0,8.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,20.0,1.0,3.0,94.0,103.0,49.0,39.0,63%,37%,9.0,2.0,2.0,0.0,5.0,2.0,2.0,0.0,8.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,8.0,0.0,2.0,50.0,45.0,25.0,18.0,59%,41%,14.0,3.0,8.0,1.0,4.0,2.0,2.0,0.0,11.0,5.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,12.0,1.0,1.0,44.0,58.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-11-Angers-Nimes,ligue-1,home,Angers,Nimes,11.08.2018,3,4,2018-2019,56%,44%,21.0,14.0,7.0,5.0,8.0,5.0,6.0,4.0,14.0,20.0,5.0,1.0,1.0,1.0,1.0,4.0,20.0,12.0,2.0,2.0,127.0,109.0,43.0,36.0,62%,38%,6.0,5.0,2.0,1.0,3.0,3.0,1.0,1.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,8.0,1.0,0.0,73.0,61.0,15.0,20.0,50%,50%,15.0,9.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,12.0,5.0,1.0,1.0,0.0,1.0,3.0,11.0,4.0,1.0,2.0,54.0,48.0,28.0,16.0,0.0,1.0,444.0,347.0,342.0,240.0,273.0,161.0,210.0,102.0,0.0,1.0,171.0,186.0,132.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-11-Lille-Rennes,ligue-1,home,Lille,Rennes,11.08.2018,3,1,2018-2019,58%,42%,15.0,8.0,6.0,2.0,4.0,1.0,5.0,5.0,13.0,13.0,2.0,6.0,1.0,0.0,1.0,3.0,12.0,13.0,1.0,0.0,89.0,99.0,36.0,51.0,58%,42%,8.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,43.0,48.0,16.0,29.0,58%,42%,7.0,5.0,3.0,1.0,3.0,0.0,1.0,4.0,7.0,7.0,0.0,4.0,1.0,0.0,1.0,1.0,7.0,7.0,1.0,0.0,46.0,51.0,20.0,22.0,0.0,0.0,482.0,342.0,399.0,264.0,240.0,162.0,200.0,125.0,0.0,0.0,242.0,180.0,199.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-11-Montpellier-Dijon,ligue-1,home,Montpellier,Dijon,11.08.2018,1,2,2018-2019,54%,46%,16.0,9.0,7.0,4.0,7.0,3.0,2.0,2.0,21.0,14.0,4.0,2.0,1.0,0.0,2.0,6.0,15.0,21.0,2.0,2.0,127.0,99.0,49.0,33.0,53%,47%,7.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,12.0,9.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,12.0,1.0,1.0,60.0,52.0,22.0,16.0,55%,45%,9.0,7.0,3.0,4.0,4.0,1.0,2.0,2.0,9.0,5.0,3.0,2.0,0.0,0.0,2.0,3.0,7.0,9.0,1.0,1.0,67.0,47.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-11-Nantes-Monaco,ligue-1,home,Nantes,Monaco,11.08.2018,1,3,2018-2019,67%,33%,16.0,11.0,4.0,6.0,10.0,4.0,2.0,1.0,19.0,9.0,7.0,2.0,1.0,4.0,3.0,3.0,8.0,15.0,1.0,0.0,85.0,45.0,55.0,36.0,65%,35%,9.0,4.0,2.0,1.0,6.0,3.0,1.0,0.0,9.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,4.0,6.0,0.0,0.0,50.0,25.0,25.0,15.0,69%,31%,7.0,7.0,2.0,5.0,4.0,1.0,1.0,1.0,10.0,4.0,6.0,2.0,0.0,1.0,2.0,1.0,4.0,9.0,1.0,0.0,35.0,20.0,30.0,21.0,0.0,0.0,491.0,243.0,401.0,160.0,266.0,137.0,217.0,90.0,0.0,0.0,225.0,106.0,184.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-11-Nice-Reims,ligue-1,home,Nice,Reims,11.08.2018,0,1,2018-2019,71%,29%,19.0,5.0,1.0,3.0,13.0,2.0,5.0,0.0,17.0,16.0,10.0,2.0,3.0,3.0,2.0,1.0,13.0,14.0,1.0,2.0,156.0,57.0,75.0,19.0,68%,32%,9.0,4.0,0.0,2.0,6.0,2.0,3.0,0.0,9.0,9.0,5.0,2.0,1.0,1.0,1.0,0.0,8.0,8.0,0.0,1.0,73.0,30.0,28.0,9.0,74%,26%,10.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,8.0,7.0,5.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,83.0,27.0,47.0,10.0,0.0,0.0,623.0,265.0,555.0,183.0,318.0,150.0,285.0,114.0,0.0,0.0,305.0,115.0,270.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-11-St Etienne-Guingamp,ligue-1,home,St Etienne,Guingamp,11.08.2018,2,1,2018-2019,43%,57%,11.0,11.0,6.0,5.0,2.0,6.0,3.0,0.0,12.0,15.0,6.0,9.0,2.0,1.0,4.0,4.0,14.0,11.0,3.0,1.0,81.0,135.0,38.0,52.0,41%,59%,8.0,4.0,4.0,0.0,2.0,4.0,2.0,0.0,4.0,7.0,6.0,4.0,0.0,0.0,0.0,3.0,7.0,4.0,1.0,0.0,41.0,66.0,21.0,19.0,45%,55%,3.0,7.0,2.0,5.0,0.0,2.0,1.0,0.0,8.0,8.0,0.0,5.0,2.0,1.0,4.0,1.0,7.0,7.0,2.0,1.0,40.0,69.0,17.0,33.0,0.0,0.0,344.0,471.0,261.0,362.0,162.0,234.0,127.0,177.0,0.0,0.0,182.0,237.0,134.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-12-Bordeaux-Strasbourg,ligue-1,home,Bordeaux,Strasbourg,12.08.2018,0,2,2018-2019,34%,66%,5.0,17.0,2.0,6.0,2.0,7.0,1.0,4.0,14.0,6.0,3.0,10.0,0.0,2.0,4.0,2.0,6.0,12.0,1.0,0.0,104.0,124.0,28.0,64.0,33%,67%,3.0,9.0,1.0,2.0,2.0,4.0,0.0,3.0,8.0,3.0,2.0,5.0,0.0,0.0,2.0,1.0,3.0,8.0,0.0,0.0,58.0,76.0,16.0,38.0,35%,65%,2.0,8.0,1.0,4.0,0.0,3.0,1.0,1.0,6.0,3.0,1.0,5.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,46.0,48.0,12.0,26.0,1.0,0.0,288.0,574.0,210.0,493.0,153.0,310.0,116.0,266.0,0.0,0.0,135.0,264.0,94.0,227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-12-Lyon-Amiens,ligue-1,home,Lyon,Amiens,12.08.2018,2,0,2018-2019,68%,32%,15.0,10.0,7.0,1.0,3.0,4.0,5.0,5.0,19.0,11.0,10.0,1.0,2.0,2.0,1.0,5.0,9.0,17.0,0.0,2.0,132.0,78.0,43.0,22.0,73%,27%,7.0,4.0,5.0,0.0,1.0,2.0,1.0,2.0,8.0,7.0,4.0,0.0,1.0,1.0,0.0,4.0,6.0,7.0,0.0,1.0,85.0,38.0,17.0,11.0,63%,37%,8.0,6.0,2.0,1.0,2.0,2.0,4.0,3.0,11.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,0.0,1.0,47.0,40.0,26.0,11.0,0.0,0.0,570.0,262.0,499.0,195.0,326.0,114.0,282.0,77.0,0.0,0.0,244.0,148.0,217.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2018-2019-2018-08-12-Paris SG-Caen,ligue-1,home,Paris SG,Caen,12.08.2018,3,0,2018-2019,66%,34%,11.0,5.0,8.0,1.0,2.0,2.0,1.0,2.0,10.0,14.0,6.0,3.0,1.0,3.0,1.0,5.0,13.0,7.0,1.0,0.0,66.0,28.0,46.0,16.0,71%,29%,4.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,6.0,5.0,3.0,1.0,0.0,3.0,1.0,2.0,5.0,3.0,0.0,0.0,35.0,13.0,25.0,8.0,61%,39%,7.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,4.0,9.0,3.0,2.0,1.0,0.0,0.0,3.0,8.0,4.0,1.0,0.0,31.0,15.0,21.0,8.0,0.0,0.0,781.0,399.0,719.0,335.0,428.0,174.0,400.0,147.0,0.0,0.0,353.0,225.0,319.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
