match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Pass Success %,opponent Match Pass Success %,1st half Pass Success %,opponent 1st half Pass Success %,2nd half Pass Success %,opponent 2nd half Pass Success %,1st half Red Cards,opponent 1st half Red Cards,Match Total Passes,opponent Match Total Passes,Match Tackles,opponent Match Tackles,1st half Total Passes,opponent 1st half Total Passes,1st half Tackles,opponent 1st half Tackles,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Tackles,opponent 2nd half Tackles,Extra timeBall Possession,opponent Extra timeBall Possession,Extra timeGoal Attempts,opponent Extra timeGoal Attempts,Extra timeShots on Goal,opponent Extra timeShots on Goal,Extra timeShots off Goal,opponent Extra timeShots off Goal,Extra timeBlocked Shots,opponent Extra timeBlocked Shots,Extra timeFree Kicks,opponent Extra timeFree Kicks,Extra timeCorner Kicks,opponent Extra timeCorner Kicks,Extra timeOffsides,opponent Extra timeOffsides,Extra timeGoalkeeper Saves,opponent Extra timeGoalkeeper Saves,Extra timeFouls,opponent Extra timeFouls,Extra timeYellow Cards,opponent Extra timeYellow Cards,Extra timeTotal Passes,opponent Extra timeTotal Passes,Extra timeTackles,opponent Extra timeTackles,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2016-2017-2016-08-13-Burnley-Swansea,premier-league,home,Burnley,Swansea,13.08.2016,0,1,2016-2017,47%,53%,10.0,17.0,3.0,9.0,5.0,6.0,2.0,2.0,16.0,12.0,7.0,4.0,3.0,2.0,8.0,3.0,10.0,14.0,3.0,2.0,41%,59%,2.0,8.0,1.0,4.0,1.0,3.0,0.0,1.0,8.0,7.0,3.0,3.0,1.0,2.0,4.0,1.0,7.0,6.0,1.0,0.0,53%,47%,8.0,9.0,2.0,5.0,4.0,3.0,2.0,1.0,8.0,5.0,4.0,1.0,2.0,0.0,4.0,2.0,3.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-13-Crystal Palace-West Brom,premier-league,home,Crystal Palace,West Brom,13.08.2016,0,1,2016-2017,63%,37%,14.0,13.0,4.0,3.0,7.0,8.0,3.0,2.0,17.0,12.0,3.0,6.0,0.0,2.0,2.0,4.0,12.0,15.0,2.0,2.0,63%,37%,4.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,11.0,6.0,2.0,2.0,0.0,2.0,1.0,1.0,6.0,9.0,0.0,1.0,63%,37%,10.0,8.0,3.0,2.0,5.0,6.0,2.0,0.0,6.0,6.0,1.0,4.0,0.0,0.0,1.0,3.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-13-Everton-Tottenham,premier-league,home,Everton,Tottenham,13.08.2016,1,1,2016-2017,42%,58%,12.0,13.0,6.0,4.0,4.0,4.0,2.0,5.0,14.0,14.0,5.0,6.0,5.0,0.0,3.0,5.0,10.0,14.0,0.0,0.0,41%,59%,7.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,8.0,9.0,2.0,1.0,3.0,0.0,1.0,4.0,7.0,8.0,0.0,0.0,43%,57%,5.0,9.0,1.0,3.0,3.0,3.0,1.0,3.0,6.0,5.0,3.0,5.0,2.0,0.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-13-Hull-Leicester,premier-league,home,Hull,Leicester,13.08.2016,2,1,2016-2017,50%,50%,14.0,18.0,5.0,5.0,7.0,9.0,2.0,4.0,17.0,8.0,5.0,3.0,1.0,0.0,4.0,3.0,8.0,17.0,2.0,2.0,56%,44%,7.0,10.0,2.0,1.0,5.0,6.0,0.0,3.0,8.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,8.0,0.0,2.0,44%,56%,7.0,8.0,3.0,4.0,2.0,3.0,2.0,1.0,9.0,5.0,2.0,1.0,0.0,0.0,3.0,2.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-13-Manchester City-Sunderland,premier-league,home,Manchester City,Sunderland,13.08.2016,2,1,2016-2017,77%,23%,16.0,7.0,4.0,3.0,8.0,2.0,4.0,2.0,14.0,12.0,9.0,6.0,1.0,2.0,2.0,2.0,11.0,14.0,1.0,2.0,74%,26%,8.0,5.0,3.0,2.0,5.0,1.0,0.0,2.0,7.0,5.0,2.0,3.0,0.0,0.0,2.0,2.0,5.0,8.0,0.0,1.0,81%,19%,8.0,2.0,1.0,1.0,3.0,1.0,4.0,0.0,7.0,7.0,7.0,3.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-13-Middlesbrough-Stoke,premier-league,home,Middlesbrough,Stoke,13.08.2016,1,1,2016-2017,46%,54%,12.0,12.0,2.0,1.0,6.0,9.0,4.0,2.0,16.0,19.0,9.0,6.0,1.0,2.0,0.0,1.0,16.0,14.0,3.0,5.0,44%,56%,7.0,4.0,1.0,0.0,3.0,4.0,3.0,0.0,8.0,10.0,5.0,4.0,1.0,1.0,0.0,0.0,9.0,7.0,2.0,2.0,48%,52%,5.0,8.0,1.0,1.0,3.0,5.0,1.0,2.0,8.0,9.0,4.0,2.0,0.0,1.0,0.0,1.0,7.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-13-Southampton-Watford,premier-league,home,Southampton,Watford,13.08.2016,1,1,2016-2017,65%,35%,24.0,5.0,6.0,1.0,10.0,4.0,8.0,0.0,12.0,9.0,6.0,2.0,1.0,0.0,0.0,5.0,8.0,12.0,1.0,2.0,62%,38%,7.0,3.0,3.0,1.0,4.0,2.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,68%,32%,17.0,2.0,3.0,0.0,6.0,2.0,8.0,0.0,8.0,5.0,5.0,2.0,1.0,0.0,0.0,2.0,4.0,8.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-14-Arsenal-Liverpool,premier-league,home,Arsenal,Liverpool,14.08.2016,3,4,2016-2017,51%,49%,9.0,16.0,5.0,7.0,3.0,3.0,1.0,6.0,20.0,17.0,5.0,4.0,4.0,3.0,3.0,2.0,13.0,17.0,3.0,3.0,51%,49%,6.0,8.0,3.0,3.0,2.0,3.0,1.0,2.0,11.0,8.0,3.0,0.0,3.0,1.0,2.0,2.0,5.0,10.0,1.0,3.0,51%,49%,3.0,8.0,2.0,4.0,1.0,0.0,0.0,4.0,9.0,9.0,2.0,4.0,1.0,2.0,1.0,0.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-14-Bournemouth-Manchester Utd,premier-league,home,Bournemouth,Manchester Utd,14.08.2016,1,3,2016-2017,47%,53%,9.0,11.0,3.0,7.0,2.0,2.0,4.0,2.0,14.0,9.0,4.0,2.0,3.0,4.0,4.0,2.0,7.0,10.0,0.0,1.0,51%,49%,3.0,5.0,0.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,43%,57%,6.0,6.0,3.0,4.0,0.0,1.0,3.0,1.0,9.0,5.0,4.0,0.0,2.0,3.0,2.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2016-2017-2016-08-15-Chelsea-West Ham,premier-league,home,Chelsea,West Ham,15.08.2016,2,1,2016-2017,62%,38%,16.0,7.0,6.0,3.0,6.0,2.0,4.0,2.0,16.0,16.0,7.0,1.0,1.0,1.0,2.0,4.0,15.0,16.0,5.0,2.0,61%,39%,7.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,9.0,6.0,3.0,0.0,1.0,0.0,0.0,2.0,5.0,9.0,2.0,1.0,63%,37%,9.0,6.0,4.0,3.0,2.0,1.0,3.0,2.0,7.0,10.0,4.0,1.0,0.0,1.0,2.0,2.0,10.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
