match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in,Match Total Passes,opponent Match Total Passes,1st half Total Passes,opponent 1st half Total Passes,2nd half Total Passes,opponent 2nd half Total Passes
serie-a-2015-2016-2015-08-22-Lazio-Bologna,serie-a,home,Lazio,Bologna,22.08.2015,2,1,2015-2016,55%,45%,21.0,9.0,9.0,4.0,7.0,3.0,5.0,2.0,12.0,20.0,10.0,3.0,2.0,4.0,3.0,7.0,18.0,8.0,2.0,1.0,59%,41%,8.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,9.0,6.0,1.0,2.0,2.0,2.0,3.0,7.0,3.0,51%,49%,13.0,4.0,4.0,1.0,5.0,2.0,4.0,1.0,7.0,11.0,4.0,2.0,0.0,2.0,1.0,4.0,11.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-22-Verona-AS Roma,serie-a,home,Verona,AS Roma,22.08.2015,1,1,2015-2016,35%,65%,12.0,20.0,7.0,7.0,4.0,10.0,1.0,3.0,13.0,14.0,3.0,7.0,5.0,2.0,6.0,6.0,9.0,11.0,2.0,1.0,36%,64%,7.0,10.0,3.0,2.0,3.0,6.0,1.0,2.0,5.0,10.0,2.0,1.0,3.0,1.0,2.0,3.0,7.0,4.0,34%,66%,5.0,10.0,4.0,5.0,1.0,4.0,0.0,1.0,8.0,4.0,1.0,6.0,2.0,1.0,4.0,3.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-23-Empoli-Chievo,serie-a,home,Empoli,Chievo,23.08.2015,1,3,2015-2016,54%,46%,14.0,12.0,4.0,3.0,5.0,7.0,5.0,2.0,23.0,16.0,8.0,5.0,1.0,4.0,0.0,4.0,15.0,19.0,1.0,2.0,54%,46%,11.0,4.0,5.0,0.0,2.0,4.0,4.0,0.0,5.0,6.0,6.0,1.0,1.0,1.0,0.0,4.0,5.0,4.0,54%,46%,3.0,8.0,-1.0,3.0,3.0,3.0,1.0,2.0,18.0,10.0,2.0,4.0,0.0,3.0,0.0,0.0,10.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-23-Fiorentina-AC Milan,serie-a,home,Fiorentina,AC Milan,23.08.2015,2,0,2015-2016,55%,45%,13.0,9.0,7.0,0.0,3.0,6.0,3.0,3.0,20.0,19.0,4.0,5.0,1.0,4.0,0.0,5.0,18.0,16.0,3.0,4.0,50%,50%,9.0,3.0,3.0,0.0,3.0,1.0,3.0,2.0,9.0,11.0,3.0,3.0,0.0,1.0,0.0,2.0,11.0,8.0,60%,40%,4.0,6.0,4.0,0.0,0.0,5.0,0.0,1.0,11.0,8.0,1.0,2.0,1.0,3.0,0.0,3.0,7.0,8.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-23-Frosinone-Torino,serie-a,home,Frosinone,Torino,23.08.2015,1,2,2015-2016,50%,50%,13.0,26.0,3.0,7.0,6.0,9.0,4.0,10.0,12.0,12.0,3.0,12.0,2.0,1.0,5.0,2.0,10.0,11.0,2.0,2.0,41%,59%,7.0,12.0,2.0,3.0,2.0,4.0,3.0,5.0,7.0,4.0,1.0,8.0,0.0,1.0,3.0,1.0,4.0,6.0,59%,41%,6.0,14.0,1.0,4.0,4.0,5.0,1.0,5.0,5.0,8.0,2.0,4.0,2.0,0.0,2.0,1.0,6.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-23-Inter-Atalanta,serie-a,home,Inter,Atalanta,23.08.2015,1,0,2015-2016,67%,33%,21.0,5.0,7.0,0.0,10.0,3.0,4.0,2.0,13.0,18.0,9.0,1.0,4.0,0.0,0.0,6.0,14.0,12.0,2.0,4.0,65%,35%,9.0,4.0,3.0,0.0,5.0,2.0,1.0,2.0,6.0,11.0,4.0,1.0,2.0,0.0,0.0,3.0,9.0,6.0,69%,31%,12.0,1.0,4.0,0.0,5.0,1.0,3.0,0.0,7.0,7.0,5.0,0.0,2.0,0.0,0.0,3.0,5.0,6.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-23-Juventus-Udinese,serie-a,home,Juventus,Udinese,23.08.2015,0,1,2015-2016,65%,35%,21.0,6.0,5.0,2.0,10.0,3.0,6.0,1.0,22.0,17.0,10.0,2.0,3.0,0.0,1.0,5.0,14.0,22.0,1.0,3.0,64%,36%,11.0,1.0,3.0,0.0,5.0,1.0,3.0,0.0,9.0,8.0,4.0,1.0,1.0,0.0,0.0,3.0,7.0,9.0,66%,34%,10.0,5.0,2.0,2.0,5.0,2.0,3.0,1.0,13.0,9.0,6.0,1.0,2.0,0.0,1.0,2.0,7.0,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-23-Palermo-Genoa,serie-a,home,Palermo,Genoa,23.08.2015,1,0,2015-2016,44%,56%,19.0,11.0,6.0,3.0,5.0,6.0,8.0,2.0,18.0,12.0,5.0,6.0,2.0,5.0,3.0,5.0,10.0,13.0,1.0,1.0,44%,56%,5.0,9.0,0.0,3.0,1.0,4.0,4.0,2.0,9.0,5.0,2.0,6.0,1.0,2.0,3.0,0.0,4.0,7.0,44%,56%,14.0,2.0,6.0,0.0,4.0,2.0,4.0,0.0,9.0,7.0,3.0,0.0,1.0,3.0,0.0,5.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-23-Sampdoria-Carpi,serie-a,home,Sampdoria,Carpi,23.08.2015,5,2,2015-2016,56%,44%,10.0,25.0,7.0,8.0,1.0,12.0,2.0,5.0,15.0,11.0,4.0,8.0,1.0,0.0,6.0,2.0,15.0,16.0,3.0,3.0,60%,40%,8.0,6.0,6.0,1.0,1.0,3.0,1.0,2.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,8.0,52%,48%,2.0,19.0,1.0,7.0,0.0,9.0,1.0,3.0,7.0,5.0,1.0,6.0,1.0,0.0,6.0,1.0,9.0,8.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2015-2016-2015-08-23-Sassuolo-Napoli,serie-a,home,Sassuolo,Napoli,23.08.2015,2,1,2015-2016,45%,55%,17.0,14.0,6.0,3.0,3.0,7.0,8.0,4.0,22.0,15.0,5.0,1.0,2.0,2.0,2.0,4.0,13.0,21.0,4.0,2.0,54%,46%,9.0,5.0,5.0,2.0,1.0,1.0,3.0,2.0,17.0,5.0,4.0,0.0,0.0,2.0,1.0,4.0,5.0,15.0,36%,64%,8.0,9.0,1.0,1.0,2.0,6.0,5.0,2.0,5.0,10.0,1.0,1.0,2.0,0.0,1.0,0.0,8.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
