match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
serie-a-2016-2017-2016-08-20-AS Roma-Udinese,serie-a,home,AS Roma,Udinese,20.08.2016,4,0,2016-2017,73%,27%,25.0,11.0,9.0,1.0,11.0,5.0,5.0,5.0,13.0,10.0,10.0,5.0,2.0,1.0,1.0,5.0,8.0,14.0,0.0,2.0,71%,29%,10.0,6.0,3.0,1.0,5.0,3.0,2.0,2.0,8.0,8.0,6.0,1.0,2.0,1.0,1.0,3.0,6.0,7.0,75%,25%,15.0,5.0,6.0,0.0,6.0,2.0,3.0,3.0,5.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-20-Juventus-Fiorentina,serie-a,home,Juventus,Fiorentina,20.08.2016,2,1,2016-2017,54%,46%,19.0,4.0,4.0,1.0,9.0,2.0,6.0,1.0,18.0,12.0,3.0,1.0,0.0,2.0,0.0,2.0,11.0,16.0,1.0,3.0,61%,39%,11.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,47%,53%,8.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,10.0,9.0,2.0,1.0,0.0,2.0,0.0,2.0,9.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-21-AC Milan-Torino,serie-a,home,AC Milan,Torino,21.08.2016,3,2,2016-2017,51%,49%,11.0,20.0,5.0,4.0,2.0,9.0,4.0,7.0,22.0,15.0,10.0,10.0,3.0,3.0,2.0,2.0,13.0,20.0,2.0,3.0,57%,43%,8.0,3.0,2.0,0.0,2.0,2.0,4.0,1.0,10.0,8.0,7.0,3.0,3.0,1.0,0.0,1.0,5.0,9.0,45%,55%,3.0,17.0,3.0,4.0,0.0,7.0,0.0,6.0,12.0,7.0,3.0,7.0,0.0,2.0,2.0,1.0,8.0,11.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-21-Atalanta-Lazio,serie-a,home,Atalanta,Lazio,21.08.2016,3,4,2016-2017,71%,29%,19.0,11.0,6.0,6.0,6.0,3.0,7.0,2.0,17.0,6.0,7.0,2.0,1.0,2.0,2.0,3.0,5.0,16.0,2.0,2.0,68%,32%,9.0,8.0,0.0,5.0,4.0,2.0,5.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,2.0,0.0,3.0,4.0,74%,26%,10.0,3.0,6.0,1.0,2.0,1.0,2.0,1.0,12.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-21-Bologna-Crotone,serie-a,home,Bologna,Crotone,21.08.2016,1,0,2016-2017,47%,53%,20.0,5.0,6.0,0.0,11.0,3.0,3.0,2.0,19.0,12.0,5.0,3.0,5.0,2.0,0.0,5.0,7.0,17.0,1.0,1.0,49%,51%,9.0,3.0,2.0,0.0,5.0,2.0,2.0,1.0,10.0,8.0,2.0,1.0,5.0,1.0,0.0,2.0,3.0,8.0,45%,55%,11.0,2.0,4.0,0.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,2.0,0.0,1.0,0.0,3.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-21-Chievo-Inter,serie-a,home,Chievo,Inter,21.08.2016,2,0,2016-2017,34%,66%,12.0,13.0,4.0,3.0,5.0,8.0,3.0,2.0,13.0,16.0,4.0,8.0,1.0,0.0,3.0,2.0,15.0,13.0,2.0,4.0,29%,71%,3.0,6.0,0.0,2.0,1.0,2.0,2.0,2.0,8.0,8.0,1.0,4.0,0.0,0.0,2.0,0.0,8.0,8.0,39%,61%,9.0,7.0,4.0,1.0,4.0,6.0,1.0,0.0,5.0,8.0,3.0,4.0,1.0,0.0,1.0,2.0,7.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-21-Empoli-Sampdoria,serie-a,home,Empoli,Sampdoria,21.08.2016,0,1,2016-2017,53%,47%,8.0,16.0,3.0,5.0,5.0,6.0,0.0,5.0,32.0,22.0,2.0,5.0,6.0,0.0,4.0,3.0,17.0,32.0,2.0,4.0,53%,47%,2.0,5.0,0.0,2.0,2.0,1.0,0.0,2.0,14.0,8.0,1.0,1.0,4.0,0.0,1.0,0.0,5.0,14.0,53%,47%,6.0,11.0,3.0,3.0,3.0,5.0,0.0,3.0,18.0,14.0,1.0,4.0,2.0,0.0,3.0,3.0,12.0,18.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-21-Genoa-Cagliari,serie-a,home,Genoa,Cagliari,21.08.2016,3,1,2016-2017,74%,26%,22.0,4.0,6.0,3.0,11.0,1.0,5.0,0.0,12.0,13.0,6.0,1.0,1.0,2.0,2.0,3.0,13.0,10.0,4.0,3.0,71%,29%,11.0,1.0,1.0,1.0,6.0,0.0,4.0,0.0,7.0,8.0,4.0,0.0,1.0,1.0,1.0,1.0,8.0,6.0,77%,23%,11.0,3.0,5.0,2.0,5.0,1.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-21-Palermo-Sassuolo,serie-a,home,Palermo,Sassuolo,21.08.2016,0,1,2016-2017,40%,60%,7.0,22.0,2.0,8.0,3.0,5.0,2.0,9.0,15.0,19.0,4.0,8.0,1.0,1.0,7.0,2.0,19.0,15.0,3.0,2.0,34%,66%,3.0,12.0,1.0,4.0,1.0,3.0,1.0,5.0,10.0,6.0,1.0,2.0,0.0,1.0,3.0,1.0,7.0,10.0,46%,54%,4.0,10.0,1.0,4.0,2.0,2.0,1.0,4.0,5.0,13.0,3.0,6.0,1.0,0.0,4.0,1.0,12.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-08-21-Pescara-Napoli,serie-a,home,Pescara,Napoli,21.08.2016,2,2,2016-2017,42%,58%,9.0,22.0,3.0,4.0,3.0,10.0,3.0,8.0,13.0,11.0,3.0,9.0,1.0,1.0,2.0,1.0,10.0,12.0,3.0,2.0,48%,52%,8.0,12.0,3.0,0.0,2.0,8.0,3.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,3.0,36%,64%,1.0,10.0,0.0,4.0,1.0,2.0,0.0,4.0,9.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0,6.0,9.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
