match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,Match Red Cards,opponent Match Red Cards,Match Yellow Cards,opponent Match Yellow Cards,2nd half Red Cards,opponent 2nd half Red Cards,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Red Cards,opponent 1st half Red Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Tackles,opponent Match Tackles,1st half Tackles,opponent 1st half Tackles,2nd half Tackles,opponent 2nd half Tackles
serie-a-2017-2018-2017-08-19-Juventus-Cagliari,serie-a,home,Juventus,Cagliari,19.08.2017,3,0,2017-2018,63%,37%,17.0,5.0,7.0,2.0,5.0,2.0,5.0,1.0,11.0,15.0,4.0,1.0,2.0,0.0,2.0,4.0,13.0,11.0,0.0,0.0,0.0,0.0,66%,34%,7.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,60%,40%,10.0,1.0,4.0,0.0,2.0,1.0,4.0,0.0,5.0,11.0,3.0,0.0,1.0,0.0,0.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-19-Verona-Napoli,serie-a,home,Verona,Napoli,19.08.2017,1,3,2017-2018,38%,62%,12.0,22.0,3.0,12.0,9.0,9.0,0.0,1.0,10.0,10.0,3.0,6.0,4.0,1.0,9.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,31%,69%,5.0,12.0,1.0,5.0,4.0,6.0,0.0,1.0,6.0,6.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,45%,55%,7.0,10.0,2.0,7.0,5.0,3.0,0.0,0.0,4.0,4.0,1.0,3.0,2.0,0.0,6.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-20-Atalanta-AS Roma,serie-a,home,Atalanta,AS Roma,20.08.2017,0,1,2017-2018,57%,43%,16.0,6.0,6.0,1.0,6.0,3.0,4.0,2.0,17.0,20.0,4.0,1.0,6.0,1.0,0.0,6.0,14.0,16.0,0.0,0.0,0.0,0.0,49%,51%,7.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,9.0,11.0,2.0,1.0,3.0,0.0,0.0,3.0,8.0,9.0,0.0,0.0,0.0,0.0,65%,35%,9.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,8.0,9.0,2.0,0.0,3.0,1.0,0.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-20-Bologna-Torino,serie-a,home,Bologna,Torino,20.08.2017,1,1,2017-2018,40%,60%,13.0,9.0,3.0,3.0,6.0,4.0,4.0,2.0,15.0,21.0,0.0,8.0,2.0,5.0,2.0,2.0,18.0,10.0,0.0,0.0,0.0,0.0,42%,58%,7.0,5.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,11.0,0.0,3.0,2.0,2.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,38%,62%,6.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,11.0,10.0,0.0,5.0,0.0,3.0,2.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-20-Crotone-AC Milan,serie-a,home,Crotone,AC Milan,20.08.2017,0,3,2017-2018,20%,80%,6.0,19.0,2.0,10.0,3.0,6.0,1.0,3.0,18.0,14.0,2.0,9.0,5.0,4.0,7.0,2.0,9.0,14.0,0.0,0.0,0.0,0.0,18%,82%,2.0,10.0,1.0,6.0,1.0,2.0,0.0,2.0,8.0,6.0,1.0,5.0,0.0,3.0,3.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,22%,78%,4.0,9.0,1.0,4.0,2.0,4.0,1.0,1.0,10.0,8.0,1.0,4.0,5.0,1.0,4.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-20-Inter-Fiorentina,serie-a,home,Inter,Fiorentina,20.08.2017,3,0,2017-2018,51%,49%,16.0,15.0,6.0,3.0,8.0,9.0,2.0,3.0,13.0,8.0,9.0,7.0,1.0,1.0,3.0,3.0,7.0,13.0,0.0,0.0,0.0,0.0,53%,47%,7.0,8.0,3.0,1.0,3.0,5.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,49%,51%,9.0,7.0,3.0,2.0,5.0,4.0,1.0,1.0,9.0,4.0,7.0,5.0,0.0,0.0,2.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-20-Lazio-Spal,serie-a,home,Lazio,Spal,20.08.2017,0,0,2017-2018,54%,46%,22.0,9.0,10.0,2.0,9.0,4.0,3.0,3.0,5.0,20.0,9.0,5.0,2.0,1.0,2.0,10.0,20.0,4.0,0.0,0.0,0.0,0.0,52%,48%,10.0,5.0,5.0,1.0,4.0,2.0,1.0,2.0,2.0,10.0,3.0,4.0,1.0,0.0,1.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,56%,44%,12.0,4.0,5.0,1.0,5.0,2.0,2.0,1.0,3.0,10.0,6.0,1.0,1.0,1.0,1.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-20-Sampdoria-Benevento,serie-a,home,Sampdoria,Benevento,20.08.2017,2,1,2017-2018,65%,35%,16.0,18.0,6.0,7.0,4.0,9.0,6.0,2.0,13.0,12.0,6.0,7.0,2.0,3.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,69%,31%,11.0,9.0,4.0,3.0,2.0,6.0,5.0,0.0,7.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,61%,39%,5.0,9.0,2.0,4.0,2.0,3.0,1.0,2.0,6.0,7.0,3.0,5.0,1.0,1.0,4.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-20-Sassuolo-Genoa,serie-a,home,Sassuolo,Genoa,20.08.2017,0,0,2017-2018,47%,53%,14.0,12.0,3.0,4.0,9.0,6.0,2.0,2.0,29.0,16.0,2.0,5.0,0.0,1.0,4.0,3.0,16.0,28.0,0.0,0.0,0.0,0.0,51%,49%,8.0,8.0,2.0,3.0,4.0,3.0,2.0,2.0,14.0,8.0,1.0,2.0,0.0,1.0,3.0,2.0,8.0,13.0,0.0,0.0,0.0,0.0,43%,57%,6.0,4.0,1.0,1.0,5.0,3.0,0.0,0.0,15.0,8.0,1.0,3.0,0.0,0.0,1.0,1.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2017-2018-2017-08-20-Udinese-Chievo,serie-a,home,Udinese,Chievo,20.08.2017,1,2,2017-2018,53%,47%,18.0,10.0,5.0,3.0,6.0,5.0,7.0,2.0,12.0,12.0,5.0,4.0,1.0,2.0,1.0,4.0,11.0,10.0,0.0,0.0,0.0,0.0,46%,54%,8.0,6.0,3.0,1.0,2.0,4.0,3.0,1.0,6.0,6.0,3.0,3.0,1.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,60%,40%,10.0,4.0,2.0,2.0,4.0,1.0,4.0,1.0,6.0,6.0,2.0,1.0,0.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
