,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Bayern Munich,82,68,100,32,26,4,4
Dortmund,69,43,84,41,21,6,7
RB Leipzig,66,44,81,37,18,12,4
B. Monchengladbach,65,26,66,40,20,5,9
Bayer Leverkusen,63,17,61,44,19,6,9
Hoffenheim,52,0,53,53,15,7,12
Wolfsburg,49,2,48,46,13,10,11
Freiburg,48,1,48,47,13,9,12
Eintracht Frankfurt,45,-1,59,60,13,6,15
Union Berlin,41,-17,41,58,12,5,17
Hertha Berlin,41,-11,48,59,11,8,15
Schalke,39,-20,38,58,9,12,13
Mainz,37,-21,44,65,11,4,19
Augsburg,36,-18,45,63,9,9,16
FC Koln,36,-18,51,69,10,6,18
Werder Bremen,31,-27,42,69,8,7,19
Dusseldorf,30,-31,36,67,6,12,16
Paderborn,20,-37,37,74,4,8,22
