,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Real Madrid,93,65,106,41,29,6,3
Barcelona,90,79,116,37,28,6,4
Atl. Madrid,78,43,70,27,23,9,6
Sevilla,72,20,69,49,21,9,8
Villarreal,67,23,56,33,19,10,9
Real Sociedad,64,6,59,53,19,7,12
Ath Bilbao,63,10,53,43,19,6,13
Espanyol,56,-1,49,50,15,11,12
Alaves,55,-2,41,43,14,13,11
Eibar,54,5,56,51,15,9,14
Malaga,46,-6,49,55,12,10,16
Valencia,46,-9,56,65,13,7,18
Celta Vigo,45,-16,53,69,13,6,19
Las Palmas,39,-21,53,74,10,9,19
Betis,39,-23,41,64,10,9,19
Dep. La Coruna,36,-18,43,61,8,12,18
Leganes,35,-19,36,55,8,11,19
Gijon,31,-30,42,72,7,10,21
Osasuna,22,-54,40,94,4,10,24
Granada CF,20,-52,30,82,4,8,26
