,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Paris SG,91,70,105,35,29,4,5
Lille,75,35,68,33,22,9,7
Lyon,72,23,70,47,21,9,8
St Etienne,66,18,59,41,19,9,10
Marseille,61,8,60,52,18,7,13
Montpellier,59,11,53,42,15,14,9
Nice,56,-5,30,35,15,11,12
Reims,55,-3,39,42,13,16,9
Nimes,53,-1,57,58,15,8,15
Rennes,52,3,55,52,13,13,12
Strasbourg,49,10,58,48,11,16,11
Nantes,48,0,48,48,13,9,16
Angers,46,-5,44,49,10,16,12
Bordeaux,41,-8,34,42,10,11,17
Amiens,38,-21,31,52,9,11,18
Toulouse,38,-22,35,57,8,14,16
Monaco,36,-19,38,57,8,12,18
Dijon,34,-29,31,60,9,7,22
Caen,33,-25,29,54,7,12,19
Guingamp,27,-40,28,68,5,12,21
