,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Bayern Munich,36,36,46,10,11,3,1
Dortmund,30,14,33,19,9,3,3
Werder Bremen,29,14,37,23,9,2,4
Hoffenheim,28,11,29,18,8,4,3
RB Leipzig,25,8,30,22,7,4,4
Hamburger SV,22,-9,17,26,6,4,5
Freiburg,22,-9,18,27,6,4,5
B. Monchengladbach,22,2,24,22,6,4,5
Schalke,21,4,23,19,5,6,4
Wolfsburg,18,-8,17,25,5,3,7
Bayer Leverkusen,17,-1,25,26,4,5,6
Ingolstadt,17,-8,19,27,4,5,6
FC Koln,17,-3,23,26,4,5,6
Hertha Berlin,16,-10,16,26,5,1,9
Darmstadt,16,-9,16,25,5,1,9
Mainz,15,-3,17,20,4,3,8
Augsburg,14,-12,17,29,3,5,7
Eintracht Frankfurt,7,-17,11,28,1,4,10
