,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Real Madrid,87,45,70,25,26,9,3
Barcelona,82,48,86,38,25,7,6
Sevilla,70,20,54,34,19,13,6
Atl. Madrid,70,24,51,27,18,16,4
Villarreal,60,14,63,49,18,6,14
Real Sociedad,56,8,56,48,16,8,14
Granada CF,56,7,52,45,16,8,14
Getafe,54,6,43,37,14,12,12
Valencia,53,-7,46,53,14,11,13
Osasuna,52,-8,46,54,13,13,12
Ath Bilbao,51,3,41,38,13,12,13
Levante,49,-6,47,53,14,7,17
Eibar,42,-17,39,56,11,9,18
Valladolid,42,-11,32,43,9,15,14
Betis,41,-12,48,60,10,11,17
Alaves,39,-25,34,59,10,9,19
Celta Vigo,37,-12,37,49,7,16,15
Leganes,36,-21,30,51,8,12,18
Mallorca,33,-25,40,65,9,6,23
Espanyol,25,-31,27,58,5,10,23
