,PTS,Goal Difference,Goals,Goals against,Wins,Draws,Losses
Paris SG,93,79,108,29,29,6,3
Monaco,80,40,85,45,24,8,6
Lyon,78,44,87,43,23,9,6
Marseille,77,33,80,47,22,11,5
Rennes,58,6,50,44,16,10,12
Bordeaux,55,5,53,48,16,7,15
St Etienne,55,-3,47,50,15,10,13
Nice,54,1,53,52,15,9,14
Nantes,52,-5,36,41,14,10,14
Montpellier,51,3,36,33,11,18,9
Dijon,48,-18,55,73,13,9,16
Guingamp,47,-11,48,59,12,11,15
Amiens,45,-5,37,42,12,9,17
Angers,41,-10,42,52,9,14,15
Strasbourg,38,-23,44,67,9,11,18
Caen,38,-25,27,52,10,8,20
Lille,38,-26,41,67,10,8,20
Toulouse,37,-16,38,54,9,10,19
Troyes,33,-27,32,59,9,6,23
Metz,26,-42,34,76,6,8,24
